********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615867216|Mar 16 04:00:16||0.514048
1615867218|Mar 16 04:00:18||0.285440
1615867219|Mar 16 04:00:19||0.327424
1615867221|Mar 16 04:00:21||0.348672
1615867222|Mar 16 04:00:22||0.398080
1615867223|Mar 16 04:00:23||0.374784
1615867225|Mar 16 04:00:25||0.348928
1615867226|Mar 16 04:00:26||0.362240
1615867228|Mar 16 04:00:28||0.340224
1615867229|Mar 16 04:00:29||0.343552
1615867231|Mar 16 04:00:31||0.345088
1615867232|Mar 16 04:00:32||0.353024
1615867233|Mar 16 04:00:33||0.406784
1615867235|Mar 16 04:00:35||0.533504
1615867236|Mar 16 04:00:36||0.443904
1615867238|Mar 16 04:00:38||0.310016
1615867239|Mar 16 04:00:39||0.362240
1615867240|Mar 16 04:00:40||0.359936
1615867242|Mar 16 04:00:42||0.369152
1615867243|Mar 16 04:00:43||13.784064
1615867245|Mar 16 04:00:45||0.419840
1615867246|Mar 16 04:00:46||0.339712
1615867248|Mar 16 04:00:48||0.520192
1615867249|Mar 16 04:00:49||0.328448
1615867250|Mar 16 04:00:50||0.371456
1615867252|Mar 16 04:00:52||0.348160
1615867253|Mar 16 04:00:53||0.328960
1615867255|Mar 16 04:00:55||0.555776
1615867256|Mar 16 04:00:56||0.409856
1615867258|Mar 16 04:00:58||0.356608
1615867259|Mar 16 04:00:59||0.332032
1615867260|Mar 16 04:01:00||0.482816
1615867262|Mar 16 04:01:02||0.497152
1615867263|Mar 16 04:01:03||0.374272
1615867265|Mar 16 04:01:05||0.344320
1615867266|Mar 16 04:01:06||0.451328
1615867268|Mar 16 04:01:08||0.393472
1615867269|Mar 16 04:01:09||0.415744
1615867270|Mar 16 04:01:10||0.408064
1615867272|Mar 16 04:01:12||0.428800
1615867273|Mar 16 04:01:13||0.365056
1615867275|Mar 16 04:01:15||0.314112
1615867276|Mar 16 04:01:16||0.407296
1615867277|Mar 16 04:01:17||0.338688
1615867279|Mar 16 04:01:19||0.365568
1615867280|Mar 16 04:01:20||0.397568
1615867282|Mar 16 04:01:22||0.415232
1615867283|Mar 16 04:01:23||0.388864
1615867285|Mar 16 04:01:25||0.378880
1615867286|Mar 16 04:01:26||0.431104
1615867287|Mar 16 04:01:27||0.349184
1615867289|Mar 16 04:01:29||0.453632
1615867290|Mar 16 04:01:30||0.406528
1615867292|Mar 16 04:01:32||0.426752
1615867293|Mar 16 04:01:33||0.643328
1615867295|Mar 16 04:01:35||4.626688
1615867296|Mar 16 04:01:36||0.322048
1615867297|Mar 16 04:01:37||2.364928
1615867299|Mar 16 04:01:39||0.312320
1615867300|Mar 16 04:01:40||0.405248
1615867302|Mar 16 04:01:42||0.453376
1615867303|Mar 16 04:01:43||0.359936
1615867304|Mar 16 04:01:44||0.364800
1615867306|Mar 16 04:01:46||0.375040
1615867307|Mar 16 04:01:47||0.408064
1615867309|Mar 16 04:01:49||0.382464
1615867310|Mar 16 04:01:50||0.446720
1615867312|Mar 16 04:01:52||0.351488
1615867313|Mar 16 04:01:53||0.313856
1615867314|Mar 16 04:01:54||0.408832
1615867316|Mar 16 04:01:56||0.342528
1615867317|Mar 16 04:01:57||0.334848
1615867319|Mar 16 04:01:59||0.379136
1615867320|Mar 16 04:02:00||0.562688
1615867322|Mar 16 04:02:02||0.495872
1615867323|Mar 16 04:02:03||0.531968
1615867324|Mar 16 04:02:04||0.366592
1615867326|Mar 16 04:02:06||0.311552
1615867327|Mar 16 04:02:07||0.409088
1615867329|Mar 16 04:02:09||0.426752
1615867330|Mar 16 04:02:10||0.528384
1615867332|Mar 16 04:02:12||0.315136
1615867333|Mar 16 04:02:13||0.367104
1615867334|Mar 16 04:02:14||0.332288
1615867336|Mar 16 04:02:16||0.338944
1615867337|Mar 16 04:02:17||0.306688
1615867339|Mar 16 04:02:19||0.324096
1615867340|Mar 16 04:02:20||0.341760
1615867341|Mar 16 04:02:21||0.333056
1615867343|Mar 16 04:02:23||0.339456
1615867344|Mar 16 04:02:24||0.329216
1615867346|Mar 16 04:02:26||0.334336
1615867347|Mar 16 04:02:27||0.432896
1615867349|Mar 16 04:02:29||0.318208
1615867350|Mar 16 04:02:30||0.331264
1615867351|Mar 16 04:02:31||0.325632
1615867353|Mar 16 04:02:33||0.317184
1615867354|Mar 16 04:02:34||0.303616
1615867356|Mar 16 04:02:36||0.325120
1615867357|Mar 16 04:02:37||0.340480
1615867359|Mar 16 04:02:39||0.333568
1615867360|Mar 16 04:02:40||0.315136
1615867361|Mar 16 04:02:41||0.308736
1615867363|Mar 16 04:02:43||0.338688
1615867364|Mar 16 04:02:44||0.296448
1615867366|Mar 16 04:02:46||0.302336
1615867367|Mar 16 04:02:47||0.314880
1615867368|Mar 16 04:02:48||0.332544
1615867370|Mar 16 04:02:50||0.355328
1615867371|Mar 16 04:02:51||0.336128
1615867373|Mar 16 04:02:53||0.323072
1615867374|Mar 16 04:02:54||0.333824
1615867376|Mar 16 04:02:56||0.317184
1615867377|Mar 16 04:02:57||0.306944
1615867378|Mar 16 04:02:58||0.303104
1615867380|Mar 16 04:03:00||0.309760
1615867381|Mar 16 04:03:01||0.306944
1615867383|Mar 16 04:03:03||0.325632
1615867384|Mar 16 04:03:04||0.333056
1615867385|Mar 16 04:03:05||0.319232
1615867387|Mar 16 04:03:07||0.374016
1615867388|Mar 16 04:03:08||0.321792
1615867390|Mar 16 04:03:10||0.320512
1615867391|Mar 16 04:03:11||0.328448
1615867393|Mar 16 04:03:13||0.301312
1615867394|Mar 16 04:03:14||0.290816
1615867395|Mar 16 04:03:15||0.309504
1615867397|Mar 16 04:03:17||0.352512
1615867398|Mar 16 04:03:18||0.336896
1615867400|Mar 16 04:03:20||0.325632
1615867401|Mar 16 04:03:21||0.298240
1615867403|Mar 16 04:03:23||0.306176
1615867404|Mar 16 04:03:24||0.324608
1615867405|Mar 16 04:03:25||0.342272
1615867407|Mar 16 04:03:27||0.330496
1615867408|Mar 16 04:03:28||0.296960
1615867410|Mar 16 04:03:30||0.294400
1615867411|Mar 16 04:03:31||0.302080
1615867412|Mar 16 04:03:32||0.326656
1615867414|Mar 16 04:03:34||0.315648
1615867415|Mar 16 04:03:35||0.396288
1615867417|Mar 16 04:03:37||0.327424
1615867418|Mar 16 04:03:38||0.332800
1615867420|Mar 16 04:03:40||0.323584
1615867421|Mar 16 04:03:41||0.302080
1615867422|Mar 16 04:03:42||0.304128
1615867424|Mar 16 04:03:44||0.406272
1615867425|Mar 16 04:03:45||0.333056
1615867427|Mar 16 04:03:47||0.323584
1615867428|Mar 16 04:03:48||0.337408
1615867429|Mar 16 04:03:49||0.317696
1615867431|Mar 16 04:03:51||0.313600
1615867432|Mar 16 04:03:52||0.327168
1615867434|Mar 16 04:03:54||0.313344
1615867435|Mar 16 04:03:55||0.311296
1615867437|Mar 16 04:03:57||0.481792
1615867438|Mar 16 04:03:58||0.322048
1615867439|Mar 16 04:03:59||0.325376
1615867441|Mar 16 04:04:01||0.317952
1615867442|Mar 16 04:04:02||0.318208
1615867444|Mar 16 04:04:04||0.322816
1615867445|Mar 16 04:04:05||0.308224
1615867446|Mar 16 04:04:06||0.348160
1615867448|Mar 16 04:04:08||0.328448
1615867449|Mar 16 04:04:09||0.303360
1615867451|Mar 16 04:04:11||0.302336
1615867452|Mar 16 04:04:12||0.341504
1615867454|Mar 16 04:04:14||0.377600
1615867455|Mar 16 04:04:15||0.332032
1615867456|Mar 16 04:04:16||0.331008
1615867458|Mar 16 04:04:18||0.317184
1615867459|Mar 16 04:04:19||0.298496
1615867461|Mar 16 04:04:21||0.384000
1615867462|Mar 16 04:04:22||0.289536
1615867464|Mar 16 04:04:24||0.279552
1615867465|Mar 16 04:04:25||0.452096
1615867466|Mar 16 04:04:26||0.305152
1615867468|Mar 16 04:04:28||0.295168
1615867469|Mar 16 04:04:29||0.333824
1615867471|Mar 16 04:04:31||0.344832
1615867472|Mar 16 04:04:32||0.357120
1615867473|Mar 16 04:04:33||0.307456
1615867475|Mar 16 04:04:35||0.299264
1615867476|Mar 16 04:04:36||0.331520
1615867478|Mar 16 04:04:38||0.311040
1615867479|Mar 16 04:04:39||0.349184
1615867481|Mar 16 04:04:41||0.316672
1615867482|Mar 16 04:04:42||0.333312
1615867483|Mar 16 04:04:43||0.310528
1615867485|Mar 16 04:04:45||0.325632
1615867486|Mar 16 04:04:46||0.326144
1615867488|Mar 16 04:04:48||0.319744
1615867489|Mar 16 04:04:49||0.360448
1615867490|Mar 16 04:04:50||0.279040
1615867492|Mar 16 04:04:52||0.334848
1615867493|Mar 16 04:04:53||0.323072
1615867495|Mar 16 04:04:55||0.332288
1615867496|Mar 16 04:04:56||0.432640
1615867498|Mar 16 04:04:58||0.336128
1615867499|Mar 16 04:04:59||0.371968
1615867500|Mar 16 04:05:00||0.429824
1615867502|Mar 16 04:05:02||0.332544
1615867503|Mar 16 04:05:03||0.295936
1615867505|Mar 16 04:05:05||0.325632
1615867506|Mar 16 04:05:06||0.314112
1615867508|Mar 16 04:05:08||0.311808
1615867509|Mar 16 04:05:09||0.389120
1615867510|Mar 16 04:05:10||0.302848
1615867512|Mar 16 04:05:12||0.312576
1615867513|Mar 16 04:05:13||0.338432
1615867515|Mar 16 04:05:15||0.344320
1615867516|Mar 16 04:05:16||0.321280
1615867517|Mar 16 04:05:17||0.378880
1615867519|Mar 16 04:05:19||0.457984
1615867520|Mar 16 04:05:20||0.324352
1615867522|Mar 16 04:05:22||0.336896
1615867523|Mar 16 04:05:23||0.313088
1615867525|Mar 16 04:05:25||0.328704
1615867526|Mar 16 04:05:26||0.311296
1615867527|Mar 16 04:05:27||0.335872
1615867529|Mar 16 04:05:29||0.314368
1615867530|Mar 16 04:05:30||0.305408
1615867532|Mar 16 04:05:32||0.332544
1615867533|Mar 16 04:05:33||4.144384
1615867534|Mar 16 04:05:34||0.437760
1615867536|Mar 16 04:05:36||0.294656
1615867537|Mar 16 04:05:37||0.301824
1615867539|Mar 16 04:05:39||0.314368
1615867540|Mar 16 04:05:40||0.449280
1615867542|Mar 16 04:05:42||0.339456
1615867543|Mar 16 04:05:43||0.298752
1615867544|Mar 16 04:05:44||0.322560
1615867546|Mar 16 04:05:46||0.331520
1615867547|Mar 16 04:05:47||0.315136
1615867549|Mar 16 04:05:49||0.289792
1615867550|Mar 16 04:05:50||3.747584
1615867552|Mar 16 04:05:52||0.336640
1615867553|Mar 16 04:05:53||0.300544
1615867554|Mar 16 04:05:54||0.311296
1615867556|Mar 16 04:05:56||0.303360
1615867557|Mar 16 04:05:57||0.333568
1615867559|Mar 16 04:05:59||0.470528
1615867560|Mar 16 04:06:00||0.355072
1615867561|Mar 16 04:06:01||0.321536
1615867563|Mar 16 04:06:03||0.327168
1615867564|Mar 16 04:06:04||0.310528
1615867566|Mar 16 04:06:06||0.329216
1615867567|Mar 16 04:06:07||0.323584
1615867569|Mar 16 04:06:09||0.364288
1615867570|Mar 16 04:06:10||0.305408
1615867571|Mar 16 04:06:11||0.327424
1615867573|Mar 16 04:06:13||0.332032
1615867574|Mar 16 04:06:14||0.321280
1615867576|Mar 16 04:06:16||0.324608
1615867577|Mar 16 04:06:17||0.322816
1615867578|Mar 16 04:06:18||0.324352
1615867580|Mar 16 04:06:20||0.310272
1615867581|Mar 16 04:06:21||0.292864
1615867583|Mar 16 04:06:23||0.338432
1615867584|Mar 16 04:06:24||0.316672
1615867586|Mar 16 04:06:26||0.316672
1615867587|Mar 16 04:06:27||0.295680
1615867588|Mar 16 04:06:28||0.382976
1615867590|Mar 16 04:06:30||0.334848
1615867591|Mar 16 04:06:31||0.311808
1615867593|Mar 16 04:06:33||0.313088
1615867594|Mar 16 04:06:34||0.328448
1615867595|Mar 16 04:06:35||0.331520
1615867597|Mar 16 04:06:37||0.334592
1615867598|Mar 16 04:06:38||0.353024
1615867600|Mar 16 04:06:40||0.311552
1615867601|Mar 16 04:06:41||0.332544
1615867603|Mar 16 04:06:43||0.313088
1615867604|Mar 16 04:06:44||0.313600
1615867605|Mar 16 04:06:45||0.354560
1615867607|Mar 16 04:06:47||0.323840
1615867608|Mar 16 04:06:48||0.304640
1615867610|Mar 16 04:06:50||0.313600
1615867611|Mar 16 04:06:51||0.303360
1615867612|Mar 16 04:06:52||0.333824
1615867614|Mar 16 04:06:54||0.307456
1615867615|Mar 16 04:06:55||0.293120
1615867617|Mar 16 04:06:57||0.312576
1615867618|Mar 16 04:06:58||0.331264
1615867620|Mar 16 04:07:00||0.337152
1615867621|Mar 16 04:07:01||0.314368
1615867622|Mar 16 04:07:02||0.321792
1615867624|Mar 16 04:07:04||0.311552
1615867625|Mar 16 04:07:05||0.323072
1615867627|Mar 16 04:07:07||0.305152
1615867628|Mar 16 04:07:08||0.324352
1615867630|Mar 16 04:07:10||0.323584
1615867631|Mar 16 04:07:11||0.439808
1615867632|Mar 16 04:07:12||0.340224
1615867634|Mar 16 04:07:14||0.391424
1615867635|Mar 16 04:07:15||0.322048
1615867637|Mar 16 04:07:17||0.302336
1615867638|Mar 16 04:07:18||0.315904
1615867639|Mar 16 04:07:19||0.330496
1615867641|Mar 16 04:07:21||0.280064
1615867642|Mar 16 04:07:22||0.310784
1615867644|Mar 16 04:07:24||0.304896
1615867645|Mar 16 04:07:25||0.327936
1615867647|Mar 16 04:07:27||0.324096
1615867648|Mar 16 04:07:28||0.325632
1615867649|Mar 16 04:07:29||0.330752
1615867651|Mar 16 04:07:31||0.292352
1615867652|Mar 16 04:07:32||0.338944
1615867654|Mar 16 04:07:34||0.328192
1615867655|Mar 16 04:07:35||0.327936
1615867656|Mar 16 04:07:36||0.331264
1615867658|Mar 16 04:07:38||0.370944
1615867659|Mar 16 04:07:39||0.272128
1615867661|Mar 16 04:07:41||0.394240
1615867662|Mar 16 04:07:42||0.368384
1615867664|Mar 16 04:07:44||0.326144
1615867665|Mar 16 04:07:45||0.306688
1615867666|Mar 16 04:07:46||0.429312
1615867668|Mar 16 04:07:48||0.331776
1615867669|Mar 16 04:07:49||0.321024
1615867671|Mar 16 04:07:51||0.301568
1615867672|Mar 16 04:07:52||0.331008
1615867673|Mar 16 04:07:53||0.306176
1615867675|Mar 16 04:07:55||0.318976
1615867676|Mar 16 04:07:56||0.319488
1615867678|Mar 16 04:07:58||0.332544
1615867679|Mar 16 04:07:59||0.324352
1615867681|Mar 16 04:08:01||0.336896
1615867682|Mar 16 04:08:02||0.290816
1615867683|Mar 16 04:08:03||0.331776
1615867685|Mar 16 04:08:05||0.290816
1615867686|Mar 16 04:08:06||0.280576
1615867688|Mar 16 04:08:08||0.294144
1615867689|Mar 16 04:08:09||0.315648
1615867690|Mar 16 04:08:10||0.359168
1615867692|Mar 16 04:08:12||0.311808
1615867693|Mar 16 04:08:13||0.316672
1615867695|Mar 16 04:08:15||0.326912
1615867696|Mar 16 04:08:16||0.323328
1615867698|Mar 16 04:08:18||0.325888
1615867699|Mar 16 04:08:19||7.379200
1615867700|Mar 16 04:08:20||0.297984
1615867702|Mar 16 04:08:22||0.322560
1615867703|Mar 16 04:08:23||0.312320
1615867705|Mar 16 04:08:25||0.369920
1615867706|Mar 16 04:08:26||0.338944
1615867708|Mar 16 04:08:28||0.312832
1615867709|Mar 16 04:08:29||0.358400
1615867710|Mar 16 04:08:30||0.316160
1615867712|Mar 16 04:08:32||0.405504
1615867713|Mar 16 04:08:33||0.329984
1615867715|Mar 16 04:08:35||0.315136
1615867716|Mar 16 04:08:36||0.300288
1615867718|Mar 16 04:08:38||0.312320
1615867719|Mar 16 04:08:39||0.370944
1615867720|Mar 16 04:08:40||0.324608
1615867722|Mar 16 04:08:42||0.322560
1615867723|Mar 16 04:08:43||0.328448
1615867725|Mar 16 04:08:45||0.329472
1615867726|Mar 16 04:08:46||0.287744
1615867727|Mar 16 04:08:47||0.284672
1615867729|Mar 16 04:08:49||0.304128
1615867730|Mar 16 04:08:50||0.322816
1615867732|Mar 16 04:08:52||0.335360
1615867733|Mar 16 04:08:53||0.319232
1615867735|Mar 16 04:08:55||0.308736
1615867736|Mar 16 04:08:56||0.312320
1615867737|Mar 16 04:08:57||0.316928
1615867739|Mar 16 04:08:59||0.314368
1615867740|Mar 16 04:09:00||0.319488
1615867742|Mar 16 04:09:02||0.310272
1615867743|Mar 16 04:09:03||0.331008
1615867744|Mar 16 04:09:04||0.364032
1615867746|Mar 16 04:09:06||0.337408
1615867747|Mar 16 04:09:07||0.303360
1615867749|Mar 16 04:09:09||0.344320
1615867750|Mar 16 04:09:10||0.317696
1615867752|Mar 16 04:09:12||0.326656
1615867753|Mar 16 04:09:13||0.333568
1615867754|Mar 16 04:09:14||0.323840
1615867756|Mar 16 04:09:16||0.338944
1615867757|Mar 16 04:09:17||0.311296
1615867759|Mar 16 04:09:19||0.429568
1615867760|Mar 16 04:09:20||0.452096
1615867761|Mar 16 04:09:21||0.345600
1615867763|Mar 16 04:09:23||0.423680
1615867764|Mar 16 04:09:24||0.314368
1615867766|Mar 16 04:09:26||0.332800
1615867767|Mar 16 04:09:27||0.380416
1615867769|Mar 16 04:09:29||0.321024
1615867770|Mar 16 04:09:30||0.305920
1615867771|Mar 16 04:09:31||0.607744
1615867773|Mar 16 04:09:33||0.446976
1615867774|Mar 16 04:09:34||0.330752
1615867776|Mar 16 04:09:36||0.357120
1615867777|Mar 16 04:09:37||0.329728
1615867779|Mar 16 04:09:39||0.338944
1615867780|Mar 16 04:09:40||0.320512
1615867781|Mar 16 04:09:41||0.340480
1615867783|Mar 16 04:09:43||0.317952
1615867784|Mar 16 04:09:44||0.318976
1615867786|Mar 16 04:09:46||0.354560
1615867787|Mar 16 04:09:47||0.304384
1615867788|Mar 16 04:09:48||0.347648
1615867790|Mar 16 04:09:50||0.323328
1615867791|Mar 16 04:09:51||0.320256
1615867793|Mar 16 04:09:53||0.331008
1615867794|Mar 16 04:09:54||0.333568
1615867796|Mar 16 04:09:56||0.313600
1615867797|Mar 16 04:09:57||0.344832
1615867798|Mar 16 04:09:58||0.322816
1615867800|Mar 16 04:10:00||0.307200
1615867801|Mar 16 04:10:01||0.348928
1615867803|Mar 16 04:10:03||0.321792
1615867804|Mar 16 04:10:04||0.352000
1615867805|Mar 16 04:10:05||0.321536
1615867807|Mar 16 04:10:07||0.319744
1615867808|Mar 16 04:10:08||0.299520
1615867810|Mar 16 04:10:10||0.314880
1615867811|Mar 16 04:10:11||0.312832
1615867813|Mar 16 04:10:13||0.348416
1615867814|Mar 16 04:10:14||0.332800
1615867815|Mar 16 04:10:15||0.322816
1615867817|Mar 16 04:10:17||0.322048
1615867818|Mar 16 04:10:18||0.287744
1615867820|Mar 16 04:10:20||0.336384
1615867821|Mar 16 04:10:21||0.464640
1615867823|Mar 16 04:10:23||0.297216
1615867824|Mar 16 04:10:24||0.305664
1615867825|Mar 16 04:10:25||0.320512
1615867827|Mar 16 04:10:27||0.322304
1615867828|Mar 16 04:10:28||0.320512
1615867830|Mar 16 04:10:30||0.318720
1615867831|Mar 16 04:10:31||0.294912
1615867832|Mar 16 04:10:32||0.309248
1615867834|Mar 16 04:10:34||0.314112
1615867835|Mar 16 04:10:35||0.312576
1615867837|Mar 16 04:10:37||0.330496
1615867838|Mar 16 04:10:38||0.347648
1615867840|Mar 16 04:10:40||0.351232
1615867841|Mar 16 04:10:41||0.308736
1615867842|Mar 16 04:10:42||0.308480
1615867844|Mar 16 04:10:44||0.321792
1615867845|Mar 16 04:10:45||0.322816
1615867847|Mar 16 04:10:47||0.323584
1615867848|Mar 16 04:10:48||0.325120
1615867849|Mar 16 04:10:49||0.317440
1615867851|Mar 16 04:10:51||0.338432
1615867852|Mar 16 04:10:52||0.325888
1615867854|Mar 16 04:10:54||0.355072
1615867855|Mar 16 04:10:55||0.353280
1615867857|Mar 16 04:10:57||0.577792
1615867858|Mar 16 04:10:58||0.340736
1615867859|Mar 16 04:10:59||0.326400
1615867861|Mar 16 04:11:01||0.307968
1615867862|Mar 16 04:11:02||0.292864
1615867864|Mar 16 04:11:04||0.302848
1615867865|Mar 16 04:11:05||0.313600
1615867867|Mar 16 04:11:07||0.328704
1615867868|Mar 16 04:11:08||0.327936
1615867869|Mar 16 04:11:09||0.330240
1615867871|Mar 16 04:11:11||0.299520
1615867872|Mar 16 04:11:12||0.318208
1615867874|Mar 16 04:11:14||0.316928
1615867875|Mar 16 04:11:15||0.302848
1615867876|Mar 16 04:11:16||0.301312
1615867878|Mar 16 04:11:18||0.391680
1615867879|Mar 16 04:11:19||0.321536
1615867881|Mar 16 04:11:21||0.326912
1615867882|Mar 16 04:11:22||0.314880
1615867884|Mar 16 04:11:24||0.305408
1615867885|Mar 16 04:11:25||0.329728
1615867886|Mar 16 04:11:26||0.308736
1615867888|Mar 16 04:11:28||0.307456
1615867889|Mar 16 04:11:29||0.312320
1615867891|Mar 16 04:11:31||0.301568
1615867892|Mar 16 04:11:32||0.313344
1615867893|Mar 16 04:11:33||0.351232
1615867895|Mar 16 04:11:35||0.308480
1615867896|Mar 16 04:11:36||0.350208
1615867898|Mar 16 04:11:38||0.327168
1615867899|Mar 16 04:11:39||0.305664
1615867901|Mar 16 04:11:41||0.325888
1615867902|Mar 16 04:11:42||0.318976
1615867903|Mar 16 04:11:43||0.397568
1615867905|Mar 16 04:11:45||0.311808
1615867906|Mar 16 04:11:46||0.310784
1615867908|Mar 16 04:11:48||0.311552
1615867909|Mar 16 04:11:49||0.324608
1615867910|Mar 16 04:11:50||0.321792
1615867912|Mar 16 04:11:52||0.325376
1615867913|Mar 16 04:11:53||0.326144
1615867915|Mar 16 04:11:55||0.309504
1615867916|Mar 16 04:11:56||0.304384
1615867918|Mar 16 04:11:58||0.307456
1615867919|Mar 16 04:11:59||0.785408
1615867920|Mar 16 04:12:00||0.339968
1615867922|Mar 16 04:12:02||0.326400
1615867923|Mar 16 04:12:03||0.516352
1615867925|Mar 16 04:12:05||0.346368
1615867926|Mar 16 04:12:06||0.382208
1615867928|Mar 16 04:12:08||0.312832
1615867929|Mar 16 04:12:09||0.327424
1615867930|Mar 16 04:12:10||0.312576
1615867932|Mar 16 04:12:12||0.313344
1615867933|Mar 16 04:12:13||0.343296
1615867935|Mar 16 04:12:15||0.322048
1615867936|Mar 16 04:12:16||0.310272
1615867938|Mar 16 04:12:18||0.343040
1615867939|Mar 16 04:12:19||0.328960
1615867940|Mar 16 04:12:20||0.332544
1615867942|Mar 16 04:12:22||0.341248
1615867943|Mar 16 04:12:23||0.332288
1615867945|Mar 16 04:12:25||0.357632
1615867946|Mar 16 04:12:26||0.360960
1615867947|Mar 16 04:12:27||0.319744
1615867949|Mar 16 04:12:29||0.380160
1615867950|Mar 16 04:12:30||0.302592
1615867952|Mar 16 04:12:32||0.337408
1615867953|Mar 16 04:12:33||0.310784
1615867955|Mar 16 04:12:35||0.306944
1615867956|Mar 16 04:12:36||0.346112
1615867957|Mar 16 04:12:37||0.294144
1615867959|Mar 16 04:12:39||0.327936
1615867960|Mar 16 04:12:40||0.350208
1615867962|Mar 16 04:12:42||0.321792
1615867963|Mar 16 04:12:43||0.313856
1615867964|Mar 16 04:12:44||0.332800
1615867966|Mar 16 04:12:46||0.343296
1615867967|Mar 16 04:12:47||0.609536
1615867969|Mar 16 04:12:49||0.304128
1615867970|Mar 16 04:12:50||0.328704
1615867972|Mar 16 04:12:52||0.325632
1615867973|Mar 16 04:12:53||0.331264
1615867974|Mar 16 04:12:54||0.320768
1615867976|Mar 16 04:12:56||0.331776
1615867977|Mar 16 04:12:57||0.339456
1615867979|Mar 16 04:12:59||0.352256
1615867980|Mar 16 04:13:00||0.311552
1615867981|Mar 16 04:13:01||0.384256
1615867983|Mar 16 04:13:03||0.322048
1615867984|Mar 16 04:13:04||0.427008
1615867986|Mar 16 04:13:06||0.370432
1615867987|Mar 16 04:13:07||0.307968
1615867989|Mar 16 04:13:09||0.313088
1615867990|Mar 16 04:13:10||0.380672
1615867991|Mar 16 04:13:11||0.331776
1615867993|Mar 16 04:13:13||0.332032
1615867994|Mar 16 04:13:14||0.448512
1615867996|Mar 16 04:13:16||0.336896
1615867997|Mar 16 04:13:17||0.327168
1615867999|Mar 16 04:13:19||0.310016
1615868000|Mar 16 04:13:20||0.343808
1615868001|Mar 16 04:13:21||0.311552
1615868003|Mar 16 04:13:23||0.303104
1615868004|Mar 16 04:13:24||0.333824
1615868006|Mar 16 04:13:26||0.358656
1615868007|Mar 16 04:13:27||0.332288
1615868008|Mar 16 04:13:28||0.345856
1615868010|Mar 16 04:13:30||0.297728
1615868011|Mar 16 04:13:31||0.328448
1615868013|Mar 16 04:13:33||0.301824
1615868014|Mar 16 04:13:34||0.333312
1615868016|Mar 16 04:13:36||0.480256
1615868017|Mar 16 04:13:37||0.302848
1615868018|Mar 16 04:13:38||0.488960
1615868020|Mar 16 04:13:40||0.318720
1615868021|Mar 16 04:13:41||0.320512
1615868023|Mar 16 04:13:43||0.280320
1615868024|Mar 16 04:13:44||0.329984
1615868025|Mar 16 04:13:45||0.324608
1615868027|Mar 16 04:13:47||0.301312
1615868028|Mar 16 04:13:48||0.308736
1615868030|Mar 16 04:13:50||0.307456
1615868031|Mar 16 04:13:51||0.290048
1615868033|Mar 16 04:13:53||0.332288
1615868034|Mar 16 04:13:54||0.401664
1615868035|Mar 16 04:13:55||0.300288
1615868037|Mar 16 04:13:57||0.305152
1615868038|Mar 16 04:13:58||0.317440
1615868040|Mar 16 04:14:00||0.448512
1615868041|Mar 16 04:14:01||0.349696
1615868042|Mar 16 04:14:02||0.303616
1615868044|Mar 16 04:14:04||0.330752
1615868045|Mar 16 04:14:05||0.307456
1615868047|Mar 16 04:14:07||0.338688
1615868048|Mar 16 04:14:08||0.311552
1615868050|Mar 16 04:14:10||0.325120
1615868051|Mar 16 04:14:11||0.386048
1615868052|Mar 16 04:14:12||0.306176
1615868054|Mar 16 04:14:14||0.333056
1615868055|Mar 16 04:14:15||0.332288
1615868057|Mar 16 04:14:17||0.319744
1615868058|Mar 16 04:14:18||0.343552
1615868060|Mar 16 04:14:20||0.323328
1615868061|Mar 16 04:14:21||0.320768
1615868062|Mar 16 04:14:22||0.384512
1615868064|Mar 16 04:14:24||0.307200
1615868065|Mar 16 04:14:25||0.327424
1615868067|Mar 16 04:14:27||0.322048
1615868068|Mar 16 04:14:28||0.336384
1615868069|Mar 16 04:14:29||0.316160
1615868071|Mar 16 04:14:31||0.302080
1615868072|Mar 16 04:14:32||0.304896
1615868074|Mar 16 04:14:34||0.317440
1615868075|Mar 16 04:14:35||0.337408
1615868077|Mar 16 04:14:37||0.329216
1615868078|Mar 16 04:14:38||0.326912
1615868079|Mar 16 04:14:39||0.358912
1615868081|Mar 16 04:14:41||0.337152
1615868082|Mar 16 04:14:42||0.292352
1615868084|Mar 16 04:14:44||0.306688
1615868085|Mar 16 04:14:45||0.333568
1615868086|Mar 16 04:14:46||0.328960
