********************* March 16 Observing Session - beginning 03:37:43 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|RA (deg)|DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1615866112|Mar 16 03:41:52||0.303872
1615866113|Mar 16 03:41:53||0.302592
1615866115|Mar 16 03:41:55||0.440832
1615866116|Mar 16 03:41:56||0.302592
1615866117|Mar 16 03:41:57||0.295424
1615866119|Mar 16 03:41:59||0.285440
1615866120|Mar 16 03:42:00||0.347648
1615866122|Mar 16 03:42:02||0.303360
1615866123|Mar 16 03:42:03||0.338944
1615866125|Mar 16 03:42:05||0.277248
1615866126|Mar 16 03:42:06||0.312320
1615866127|Mar 16 03:42:07||0.504832
1615866129|Mar 16 03:42:09||0.295680
1615866130|Mar 16 03:42:10||0.296448
1615866132|Mar 16 03:42:12||0.314624
1615866133|Mar 16 03:42:13||0.294656
1615866134|Mar 16 03:42:14||0.340224
1615866136|Mar 16 03:42:16||0.312064
1615866137|Mar 16 03:42:17||0.311808
1615866139|Mar 16 03:42:19||0.306432
1615866140|Mar 16 03:42:20||0.306688
1615866142|Mar 16 03:42:22||0.282880
1615866143|Mar 16 03:42:23||0.312576
1615866144|Mar 16 03:42:24||0.270592
1615866146|Mar 16 03:42:26||0.268288
1615866147|Mar 16 03:42:27||0.298752
1615866149|Mar 16 03:42:29||0.308224
1615866150|Mar 16 03:42:30||0.289280
1615866151|Mar 16 03:42:31||0.288256
1615866153|Mar 16 03:42:33||0.322816
1615866154|Mar 16 03:42:34||0.410368
1615866156|Mar 16 03:42:36||0.283904
1615866157|Mar 16 03:42:37||0.300544
1615866159|Mar 16 03:42:39||0.276736
1615866160|Mar 16 03:42:40||0.514560
1615866161|Mar 16 03:42:41||0.272896
1615866163|Mar 16 03:42:43||0.553728
1615866164|Mar 16 03:42:44||0.287232
1615866166|Mar 16 03:42:46||0.314880
1615866167|Mar 16 03:42:47||0.359936
1615866168|Mar 16 03:42:48||0.310784
1615866170|Mar 16 03:42:50||0.307712
1615866171|Mar 16 03:42:51||0.308480
1615866173|Mar 16 03:42:53||0.302336
1615866174|Mar 16 03:42:54||0.298752
1615866176|Mar 16 03:42:56||0.636416
1615866177|Mar 16 03:42:57||0.288000
1615866178|Mar 16 03:42:58||0.379648
1615866180|Mar 16 03:43:00||0.303872
1615866181|Mar 16 03:43:01||0.306944
1615866183|Mar 16 03:43:03||0.325376
1615866184|Mar 16 03:43:04||0.344320
1615866186|Mar 16 03:43:06||0.300544
1615866187|Mar 16 03:43:07||0.303616
1615866188|Mar 16 03:43:08||0.324096
1615866190|Mar 16 03:43:10||0.283648
1615866191|Mar 16 03:43:11||0.281344
1615866193|Mar 16 03:43:13||0.263680
1615866194|Mar 16 03:43:14||0.324096
1615866195|Mar 16 03:43:15||0.300800
1615866197|Mar 16 03:43:17||0.321792
1615866198|Mar 16 03:43:18||0.333056
1615866200|Mar 16 03:43:20||0.302848
1615866201|Mar 16 03:43:21||0.308224
1615866203|Mar 16 03:43:23||0.330240
1615866204|Mar 16 03:43:24||0.349440
1615866205|Mar 16 03:43:25||0.323840
1615866207|Mar 16 03:43:27||0.575232
1615866208|Mar 16 03:43:28||0.351488
1615866210|Mar 16 03:43:30||0.310272
1615866211|Mar 16 03:43:31||0.335872
1615866212|Mar 16 03:43:32||0.390144
1615866214|Mar 16 03:43:34||0.306688
1615866215|Mar 16 03:43:35||0.330496
1615866217|Mar 16 03:43:37||0.312576
1615866218|Mar 16 03:43:38||0.326400
1615866220|Mar 16 03:43:40||0.311552
