********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645226993|Feb 18 23:29:53|13|57.037041|57.038195|-0.653023|-0.718270|10.239363|6.223095|48.566103494578520|193.390466815105924|-0.018678|167.409664|168.129280
1645226995|Feb 18 23:29:55|13|57.043749|57.044904|-0.653447|-0.718682|10.270834|6.229591|48.565394644373022|193.392803255143093|-0.048378|171.328768|171.761920
1645226996|Feb 18 23:29:56|11|57.049318|57.050471|-0.653092|-0.718317|10.261379|6.223748|48.565990783890264|193.390830517525387|-0.040417|171.975680|172.445184
1645226998|Feb 18 23:29:58|15|57.056370|57.057522|-0.653034|-0.718247|10.239363|6.223095|48.565815983623565|193.392785969556343|-0.016921|173.137408|173.639168
1645226999|Feb 18 23:29:59|16|57.063496|57.064649|-0.653531|-0.718731|10.276862|6.227196|48.565849643772779|193.388268984030731|-0.057840|176.536832|176.985856
1645227001|Feb 18 23:30:01|16|57.070596|57.071746|-0.652114|-0.717301|10.239363|6.223095|48.567021653459342|193.390516096092341|-0.018642|174.330112|174.759168
1645227003|Feb 18 23:30:03|18|57.076042|57.077193|-0.653311|-0.718489|10.271066|6.221414|48.565326918986024|193.394523197273600|-0.047308|177.550080|177.990400
1645227004|Feb 18 23:30:04|16|57.083153|57.084303|-0.652855|-0.718020|10.271066|6.221414|48.566296195553981|193.390283237195121|-0.050520|175.534848|176.016128
1645227006|Feb 18 23:30:06|16|57.089925|57.091073|-0.652124|-0.717278|10.239363|6.223095|48.566734238588040|193.392835556355635|-0.016886|174.395392|174.844160
1645227007|Feb 18 23:30:07|15|57.096344|57.097493|-0.653298|-0.718440|10.233325|6.225486|48.565976524142854|193.389188815315691|-0.013607|171.967744|172.415488
1645227009|Feb 18 23:30:09|12|57.102545|57.103693|-0.652495|-0.717625|10.293079|6.222067|48.566385152166241|193.392609199189451|-0.070772|172.411136|172.835584
1645227011|Feb 18 23:30:11|13|57.109588|57.110736|-0.652420|-0.717539|10.271066|6.221414|48.566225244000897|193.394580783387255|-0.047266|171.941120|172.375808
1645227012|Feb 18 23:30:12|12|57.116077|57.117223|-0.652008|-0.717115|10.223911|6.219651|48.567041178085901|193.391254741987723|-0.002631|167.699968|168.207616
1645227014|Feb 18 23:30:14|13|57.123170|57.124317|-0.652915|-0.718010|10.239363|6.223095|48.565923924857472|193.392890842738353|-0.016842|172.836096|173.278720
1645227015|Feb 18 23:30:15|15|57.130283|57.131428|-0.652455|-0.717537|10.239363|6.223095|48.566897477579097|193.388649559998555|-0.020055|172.701696|173.132800
1645227017|Feb 18 23:30:17|13|57.135712|57.136859|-0.653685|-0.718757|10.271066|6.221414|48.565167572255064|193.392672276897088|-0.048709|170.076160|170.503424
1645227018|Feb 18 23:30:18|15|57.142824|57.143969|-0.653229|-0.718289|10.271066|6.221414|48.566136839470246|193.388432486937944|-0.051921|174.080256|174.499072
1645227020|Feb 18 23:30:20|14|57.149935|57.151079|-0.652773|-0.717820|10.271066|6.221414|48.566364817827406|193.390405717296829|-0.050428|171.498240|171.922944
1645227022|Feb 18 23:30:22|14|57.156724|57.157867|-0.652005|-0.717040|10.239363|6.223095|48.566842503274813|193.392941430476611|-0.016806|171.458560|171.879936
1645227023|Feb 18 23:30:23|12|57.163601|57.164745|-0.652888|-0.717910|10.261379|6.223748|48.566453255377361|193.388691862872264|-0.042038|168.542464|168.962560
1645227025|Feb 18 23:30:25|14|57.169258|57.170401|-0.652794|-0.717807|10.271066|6.221414|48.566066186299686|193.392730748081107|-0.048667|173.337856|173.759232
1645227026|Feb 18 23:30:26|14|57.176456|57.177600|-0.653369|-0.718369|10.308576|6.225512|48.566036400040645|193.388085696277983|-0.089693|175.138048|175.564032
1645227028|Feb 18 23:30:28|12|57.183166|57.184305|-0.651555|-0.716543|10.239363|6.223095|48.567528972955095|193.391020524324972|-0.018262|170.030080|170.439936
1645227030|Feb 18 23:30:30|11|57.190281|57.191423|-0.653126|-0.718101|10.271066|6.221414|48.565763229786960|193.392444459943050|-0.048883|169.613568|170.049280
1645227031|Feb 18 23:30:31|14|57.197082|57.198221|-0.652336|-0.717299|10.239363|6.223095|48.567006138909925|193.388756701329839|-0.019975|171.532800|171.969024
1645227033|Feb 18 23:30:33|11|57.202184|57.203325|-0.653266|-0.718220|10.239363|6.223095|48.565513152488897|193.393346183932834|-0.016497|167.723776|168.145152
1645227034|Feb 18 23:30:34|13|57.209604|57.210744|-0.653147|-0.718088|10.271066|6.221414|48.566206043096663|193.388556861582089|-0.051827|171.290368|171.725824
1645227036|Feb 18 23:30:36|13|57.216410|57.217548|-0.652346|-0.717275|10.239363|6.223095|48.566719114255577|193.391077329604173|-0.018217|171.631872|172.067840
1645227038|Feb 18 23:30:38|15|57.223945|57.225084|-0.653296|-0.718212|10.308576|6.225512|48.565638056797965|193.392043597443148|-0.086696|175.258112|175.676928
1645227039|Feb 18 23:30:39|12|57.229682|57.230824|-0.654746|-0.719652|10.233325|6.225486|48.564487532402602|193.389335636957952|-0.013493|168.905984|169.359872
1645227041|Feb 18 23:30:41|12|57.236798|57.237938|-0.654285|-0.719178|10.233325|6.225486|48.564721255132049|193.391303996097520|-0.012003|167.444224|167.866880
1645227042|Feb 18 23:30:42|11|57.243962|57.245104|-0.655228|-0.720108|10.248797|6.228933|48.564323041117625|193.386610141618718|-0.031028|167.468800|167.888640
1645227044|Feb 18 23:30:44|11|57.249963|57.251097|-0.651435|-0.716305|10.239363|6.223095|48.567638113129284|193.391129507346733|-0.018179|166.753280|167.189248
1645227046|Feb 18 23:30:46|11|57.255361|57.256496|-0.652732|-0.717591|10.271066|6.221414|48.565837175645406|193.395181928276799|-0.046810|169.120768|169.544704
1645227047|Feb 18 23:30:47|12|57.263653|57.264789|-0.653596|-0.718441|10.261379|6.223748|48.565716519921978|193.388832267003266|-0.041930|169.243904|169.984768
1645227049|Feb 18 23:30:49|13|57.269272|57.270408|-0.653519|-0.718354|10.271066|6.221414|48.565306462485559|193.392922903680216|-0.048520|171.835904|172.306432
1645227050|Feb 18 23:30:50|12|57.276383|57.277518|-0.653063|-0.717885|10.271066|6.221414|48.566275858997201|193.388683620919721|-0.051731|172.068608|202.474496
1645227052|Feb 18 23:30:52|12|57.283206|57.284339|-0.652225|-0.717035|10.239363|6.223095|48.566828563067581|193.391187537087035|-0.018134|168.008960|168.506880
1645227054|Feb 18 23:30:54|13|57.288904|57.290039|-0.653627|-0.718427|10.277086|6.219025|48.564977512116911|193.394764725711099|-0.053145|167.958272|168.381440
1645227055|Feb 18 23:30:55|12|57.295705|57.296838|-0.653083|-0.717871|10.271066|6.221414|48.565977596995019|193.391009991087259|-0.049969|168.903424|169.335808
1645227057|Feb 18 23:30:57|14|57.303210|57.304341|-0.652411|-0.717186|10.299091|6.219677|48.566487836639368|193.392456383085687|-0.076900|171.222784|171.688704
1645227058|Feb 18 23:30:58|12|57.309616|57.310750|-0.653871|-0.718634|10.271066|6.221414|48.565446881877179|193.388751335987223|-0.051678|170.950144|171.718400
1645227060|Feb 18 23:31:00|11|57.316449|57.317580|-0.653015|-0.717766|10.239363|6.223095|48.566019166980304|193.391246221025767|-0.018088|167.043840|167.463936
1645227062|Feb 18 23:31:02|14|57.323838|57.324969|-0.652958|-0.717696|10.271066|6.221414|48.565903093167179|193.392699129185729|-0.048690|170.919936|171.355136
1645227063|Feb 18 23:31:03|15|57.329233|57.330365|-0.653982|-0.718711|10.277086|6.219025|48.565111309936263|193.390615669738452|-0.056286|172.119808|172.586240
1645227065|Feb 18 23:31:05|13|57.337477|57.338607|-0.653334|-0.718048|10.239363|6.223095|48.565729030675286|193.390956093779124|-0.018307|168.979712|169.395456
1645227066|Feb 18 23:31:06|12|57.344393|57.345522|-0.652492|-0.717193|10.255348|6.226140|48.567044058976386|193.387109786294900|-0.037206|172.932096|173.392896
1645227068|Feb 18 23:31:08|12|57.350095|57.351222|-0.651817|-0.716508|10.261379|6.223748|48.567237610852516|193.391237878895737|-0.040112|169.316096|169.746176
1645227069|Feb 18 23:31:09|11|57.355371|57.356500|-0.653455|-0.718137|10.271066|6.221414|48.565820004116205|193.389166122653336|-0.051365|169.240320|169.676288
1645227071|Feb 18 23:31:11|12|57.362482|57.363610|-0.652999|-0.717668|10.271066|6.221414|48.566048152297633|193.391140224975516|-0.049871|169.222400|170.036224
1645227073|Feb 18 23:31:13|11|57.369593|57.370719|-0.652542|-0.717199|10.271066|6.221414|48.566276271058136|193.393114380325784|-0.048377|167.833344|168.259584
1645227074|Feb 18 23:31:14|12|57.376610|57.377740|-0.654949|-0.719593|10.308576|6.225512|48.564411832187147|193.388247047638913|-0.089568|173.006592|173.448960
1645227076|Feb 18 23:31:16|12|57.383504|57.384630|-0.653330|-0.717961|10.271066|6.221414|48.565745735890751|193.390856352164604|-0.050085|169.535232|169.956864
1645227077|Feb 18 23:31:17|14|57.390046|57.391173|-0.654133|-0.718753|10.239363|6.223095|48.565374544184344|193.387125584414633|-0.021206|169.979904|170.396672
1645227079|Feb 18 23:31:19|14|57.395714|57.396841|-0.653806|-0.718416|10.271066|6.221414|48.565219543945808|193.391209745719721|-0.049817|172.892416|173.340160
1645227081|Feb 18 23:31:21|11|57.402825|57.403950|-0.653350|-0.717947|10.271066|6.221414|48.565447687378246|193.393184033379555|-0.048322|168.419840|168.959488
1645227082|Feb 18 23:31:22|14|57.410176|57.411302|-0.654077|-0.718662|10.308576|6.225512|48.565294447908919|193.388270804095470|-0.089551|174.083328|174.518528
1645227084|Feb 18 23:31:24|15|57.416340|57.417461|-0.652233|-0.716807|10.223911|6.219651|48.566720251069754|193.392025969106953|-0.002046|171.270656|171.698944
1645227085|Feb 18 23:31:25|15|57.422147|57.423270|-0.653370|-0.717933|10.271066|6.221414|48.565891050741826|193.389299018287147|-0.051265|172.156672|172.578816
1645227087|Feb 18 23:31:27|13|57.429304|57.430428|-0.654458|-0.719009|10.299091|6.219677|48.564606666946567|193.390790076367523|-0.078158|171.715840|172.137216
1645227089|Feb 18 23:31:29|14|57.435902|57.437023|-0.652703|-0.717242|10.255600|6.217974|48.566022368732767|193.393875130644119|-0.032334|173.993984|174.431488
1645227090|Feb 18 23:31:30|15|57.442924|57.444045|-0.653230|-0.717757|10.239363|6.223095|48.566007817974537|193.389504775947813|-0.019406|171.853824|172.361728
1645227092|Feb 18 23:31:32|16|57.450036|57.451156|-0.652770|-0.717283|10.239363|6.223095|48.566240313253537|193.391477943980902|-0.017913|175.138816|175.566336
1645227093|Feb 18 23:31:33|16|57.455689|57.456808|-0.652476|-0.716980|10.271066|6.221414|48.566790845164860|193.389363352311619|-0.051218|172.333824|172.796160
1645227095|Feb 18 23:31:35|11|57.463387|57.464504|-0.651537|-0.716027|10.308576|6.225512|48.567598391212954|193.390593351493038|-0.087798|171.308032|171.751936
1645227097|Feb 18 23:31:37|14|57.467899|57.469018|-0.652953|-0.717434|10.271066|6.221414|48.565523326391265|193.395930382747650|-0.046243|172.258048|172.684288
1645227098|Feb 18 23:31:38|16|57.476270|57.477390|-0.653781|-0.718247|10.261379|6.223748|48.565452417925989|193.389472935702742|-0.041444|175.875328|176.303104
1645227100|Feb 18 23:31:40|15|57.483586|57.484702|-0.651858|-0.716312|10.239363|6.223095|48.567160225662370|193.391535341776034|-0.017871|173.693440|174.132480
1645227101|Feb 18 23:31:41|14|57.488920|57.490037|-0.653283|-0.717727|10.271066|6.221414|48.565962606580648|193.389435156672164|-0.051162|173.444096|173.868800
1645227103|Feb 18 23:31:43|15|57.496030|57.497146|-0.652827|-0.717258|10.271066|6.221414|48.566190843362179|193.391409967742021|-0.049667|174.007552|174.441472
1645227104|Feb 18 23:31:44|14|57.502711|57.503828|-0.653339|-0.717759|10.261379|6.223748|48.566130431983488|193.387550389544828|-0.042901|172.533760|172.986880
1645227106|Feb 18 23:31:46|16|57.509714|57.510830|-0.653107|-0.717514|10.239363|6.223095|48.566119107130866|193.389625159935008|-0.019315|173.917184|174.336256
1645227108|Feb 18 23:31:48|15|57.516826|57.517940|-0.652646|-0.717041|10.239363|6.223095|48.566351643520434|193.391598707258765|-0.017821|172.183040|172.608256
1645227109|Feb 18 23:31:49|15|57.522461|57.523574|-0.652390|-0.716774|10.271066|6.221414|48.566862629370569|193.389501231245788|-0.051113|173.070336|173.494784
1645227111|Feb 18 23:31:51|13|57.529260|57.530375|-0.653633|-0.718005|10.271066|6.221414|48.565362759019344|193.391482791194818|-0.049610|170.408192|171.006720
1645227112|Feb 18 23:31:52|14|57.536371|57.537484|-0.653176|-0.717536|10.271066|6.221414|48.566332289964159|193.387244803846130|-0.052821|171.398656|171.827200
1645227114|Feb 18 23:31:54|12|57.543593|57.544706|-0.653465|-0.717812|10.276862|6.227196|48.565846663068548|193.388854055177347|-0.057397|172.823296|173.287680
1645227116|Feb 18 23:31:56|13|57.550709|57.551822|-0.653009|-0.717343|10.276862|6.227196|48.566075833398955|193.390819205971979|-0.055910|172.490752|173.004800
1645227117|Feb 18 23:31:57|15|57.555691|57.556803|-0.653196|-0.717521|10.271066|6.221414|48.566034639034861|193.389574807243633|-0.051056|172.961536|173.618688
1645227119|Feb 18 23:31:59|15|57.563142|57.564255|-0.654023|-0.718335|10.308576|6.225512|48.565059654753576|193.390698771772719|-0.087713|174.078208|174.615040
1645227120|Feb 18 23:32:00|13|57.569600|57.570713|-0.653983|-0.718283|10.271066|6.221414|48.565504358659965|193.387318799321775|-0.052763|169.190144|169.768192
1645227122|Feb 18 23:32:02|16|57.576502|57.577612|-0.652982|-0.717270|10.239363|6.223095|48.566230861488144|193.389749142698633|-0.019222|172.922112|174.625536
1645227124|Feb 18 23:32:04|11|57.583510|57.584622|-0.654769|-0.719045|10.271066|6.221414|48.564232874185528|193.391275884674258|-0.049764|168.525056|168.941824
1645227125|Feb 18 23:32:05|12|57.589784|57.590894|-0.653722|-0.717986|10.314585|6.223118|48.565635613798946|193.388439899002321|-0.095434|172.215552|172.632320
1645227127|Feb 18 23:32:07|17|57.596030|57.597139|-0.653545|-0.717798|10.271066|6.221414|48.565435068948126|193.391624691824347|-0.049503|175.961088|176.397568
1645227128|Feb 18 23:32:08|18|57.602748|57.603858|-0.654041|-0.718282|10.261379|6.223748|48.565397806095085|193.387714229314952|-0.042776|179.597056|180.028672
1645227130|Feb 18 23:32:10|18|57.609861|57.610969|-0.653583|-0.717812|10.261379|6.223748|48.565627952831484|193.389686214939900|-0.041283|174.424576|174.953728
1645227132|Feb 18 23:32:12|16|57.615655|57.616763|-0.653501|-0.717719|10.299091|6.219677|48.565253901801753|193.393517869146336|-0.076094|175.663616|176.173312
1645227133|Feb 18 23:32:13|18|57.622459|57.623566|-0.653108|-0.717314|10.271066|6.221414|48.566107115499918|193.389718239389197|-0.050948|176.507392|176.927488
1645227135|Feb 18 23:32:15|18|57.629569|57.630674|-0.652651|-0.716845|10.271066|6.221414|48.566335424362180|193.391693873448332|-0.049452|176.702720|177.204736
1645227136|Feb 18 23:32:16|20|57.636368|57.637475|-0.653894|-0.718076|10.271066|6.221414|48.565576942569891|193.387463041568822|-0.052654|181.189120|181.950464
1645227138|Feb 18 23:32:18|20|57.641953|57.643058|-0.653251|-0.717422|10.277086|6.219025|48.565718272612393|193.391756972660659|-0.055423|179.969792|180.424704
1645227140|Feb 18 23:32:20|19|57.648874|57.649980|-0.654323|-0.718482|10.299091|6.219677|48.564408756069518|193.393604162356212|-0.076027|184.292352|184.831744
1645227141|Feb 18 23:32:21|16|57.655982|57.657087|-0.653870|-0.718016|10.299091|6.219677|48.565374572949295|193.389368707380783|-0.079236|173.988096|174.412032
1645227143|Feb 18 23:32:23|12|57.662797|57.663901|-0.653456|-0.717591|10.271066|6.221414|48.565507803657205|193.391770536860577|-0.049393|170.123520|170.576128
1645227144|Feb 18 23:32:24|16|57.669907|57.671009|-0.653000|-0.717121|10.271066|6.221414|48.566477417469585|193.387533393243586|-0.052603|173.876736|174.625536
1645227146|Feb 18 23:32:26|21|57.677252|57.678355|-0.653302|-0.717410|10.276862|6.227196|48.566000762479987|193.388955381671906|-0.057321|183.740928|184.153856
1645227148|Feb 18 23:32:28|16|57.684547|57.685649|-0.653449|-0.717545|10.308576|6.225512|48.565667367146574|193.390493530536986|-0.087869|174.418432|174.847744
1645227149|Feb 18 23:32:29|20|57.689199|57.690303|-0.654691|-0.718778|10.299091|6.219677|48.564529565544930|193.389456318483468|-0.079167|180.300032|180.722944
1645227151|Feb 18 23:32:31|17|57.696764|57.697866|-0.653933|-0.718007|10.308576|6.225512|48.565134783860202|193.390836255488665|-0.087609|178.741504|179.164416
1645227152|Feb 18 23:32:32|18|57.702831|57.703929|-0.652279|-0.716342|10.255600|6.217974|48.567097465430166|193.388470981061232|-0.036428|177.657344|178.078720
1645227154|Feb 18 23:32:34|16|57.710243|57.711343|-0.653348|-0.717398|10.271066|6.221414|48.565878317995974|193.389587544957664|-0.051046|172.731136|173.398016
1645227156|Feb 18 23:32:36|18|57.715799|57.716898|-0.652713|-0.716752|10.277086|6.219025|48.566006720440186|193.393921872338240|-0.053785|176.467712|176.876800
1645227157|Feb 18 23:32:37|17|57.722906|57.724003|-0.652257|-0.716284|10.277086|6.219025|48.566975053119805|193.389688839172692|-0.056992|174.547712|175.321088
1645227159|Feb 18 23:32:39|19|57.729702|57.730801|-0.653500|-0.717515|10.277086|6.219025|48.565474662789100|193.391675622906234|-0.055484|176.894208|177.339392
1645227160|Feb 18 23:32:40|18|57.736671|57.737768|-0.652910|-0.716912|10.271066|6.221414|48.566550579901360|193.387683916668351|-0.052489|175.700736|176.143616
1645227162|Feb 18 23:32:42|17|57.743470|57.744568|-0.654153|-0.718143|10.271066|6.221414|48.565050958851437|193.389666822359743|-0.050984|173.866752|174.343936
1645227164|Feb 18 23:32:44|24|57.750579|57.751676|-0.653696|-0.717674|10.271066|6.221414|48.565279327181166|193.391643251538824|-0.049488|182.478848|182.929152
1645227165|Feb 18 23:32:45|21|57.756119|57.757215|-0.653065|-0.717033|10.277086|6.219025|48.566142309782329|193.389786790945408|-0.056916|179.477504|179.909120
1645227167|Feb 18 23:32:47|21|57.762924|57.764020|-0.654044|-0.717999|10.293079|6.222067|48.564903742833721|193.391831801130309|-0.071357|183.324928|183.759104
1645227168|Feb 18 23:32:48|22|57.769897|57.770992|-0.653715|-0.717658|10.271066|6.221414|48.565723295074164|193.387764116984926|-0.052426|179.529472|179.939840
1645227170|Feb 18 23:32:50|22|57.777006|57.778100|-0.653258|-0.717188|10.271066|6.221414|48.565951705774481|193.389740759723423|-0.050930|179.850752|180.282112
1645227172|Feb 18 23:32:52|23|57.783021|57.784116|-0.654057|-0.717976|10.314585|6.223118|48.564750012195631|193.393007584779923|-0.091973|183.690496|184.114944
1645227173|Feb 18 23:32:53|25|57.789332|57.790426|-0.653873|-0.717781|10.277086|6.219025|48.565309671852816|193.389885868886381|-0.056839|183.502592|192.642304
1645227175|Feb 18 23:32:55|21|57.796438|57.797531|-0.653417|-0.717312|10.277086|6.219025|48.565536670076234|193.391866392678764|-0.055340|181.156096|181.981696
1645227176|Feb 18 23:32:56|18|57.803379|57.804475|-0.655328|-0.719211|10.308758|6.217345|48.564145713784093|193.387245456261581|-0.090508|176.103680|176.869120
1645227178|Feb 18 23:32:58|16|57.810372|57.811465|-0.653953|-0.717823|10.293079|6.222067|48.565257608109476|193.389641296807525|-0.073017|176.646144|177.106944
1645227180|Feb 18 23:33:00|24|57.817340|57.818431|-0.653606|-0.717464|10.271066|6.221414|48.565352928954539|193.391799256024029|-0.049370|182.770688|183.199744
1645227181|Feb 18 23:33:01|26|57.822854|57.823944|-0.652981|-0.716830|10.277086|6.219025|48.566204444145541|193.389979411307252|-0.056770|186.632704|187.059712
1645227183|Feb 18 23:33:03|27|57.829277|57.830366|-0.652665|-0.716502|10.261623|6.215589|48.566172503834544|193.392938697922432|-0.039066|186.072064|186.491392
1645227184|Feb 18 23:33:04|20|57.837489|57.838578|-0.653387|-0.717209|10.308576|6.225512|48.566177678098491|193.386746683303073|-0.090707|179.737600|180.162304
1645227186|Feb 18 23:33:06|23|57.845329|57.846417|-0.652785|-0.716593|10.239363|6.223095|48.566678562856808|193.387675097508662|-0.020793|180.241152|180.662016
1645227188|Feb 18 23:33:08|26|57.850896|57.851986|-0.654607|-0.718405|10.305099|6.217284|48.564390939395196|193.391334762165002|-0.083753|186.873856|187.336192
1645227189|Feb 18 23:33:09|27|57.857558|57.858646|-0.653508|-0.717294|10.257151|6.220567|48.565912814381043|193.387935862579070|-0.038382|184.398848|184.837376
1645227191|Feb 18 23:33:11|19|57.863477|57.864562|-0.652295|-0.716070|10.254073|6.223305|48.566674611869161|193.391885559323441|-0.032314|87.229952|87.702016
1645227192|Feb 18 23:33:12|23|57.870076|57.871161|-0.652281|-0.716045|10.257151|6.220567|48.567117316984231|193.388288132561030|-0.038117|89.552896|89.990144
1645227194|Feb 18 23:33:14|28|57.875648|57.876735|-0.653961|-0.717715|10.302091|6.218055|48.564970563611205|193.391978728305702|-0.080259|91.997440|92.564224
1645227195|Feb 18 23:33:15|31|57.882730|57.883815|-0.653273|-0.717014|10.282393|6.220902|48.566162819135769|193.387845178343468|-0.063693|92.122880|92.550144
1645227197|Feb 18 23:33:17|31|57.888162|57.889246|-0.652744|-0.716476|10.302091|6.218055|48.566164197514553|193.392334610619514|-0.079992|92.516352|92.935936
1645227198|Feb 18 23:33:18|32|57.895462|57.896546|-0.653305|-0.717024|10.279326|6.223641|48.566166098263245|193.387542341255454|-0.060854|93.258496|94.022912
1645227200|Feb 18 23:33:20|32|57.901601|57.902684|-0.652769|-0.716477|10.257151|6.220567|48.566300362138293|193.390982860833930|-0.036075|93.173248|93.662976
1645227201|Feb 18 23:33:21|27|57.907226|57.908309|-0.652788|-0.716485|10.275894|6.215916|48.566538703658686|193.388825456127677|-0.056452|49.367040|49.816832
1645227203|Feb 18 23:33:23|29|57.913872|57.914952|-0.651554|-0.715239|10.230959|6.218425|48.567449811183629|193.391700440797905|-0.009342|50.968832|51.425536
1645227204|Feb 18 23:33:24|29|57.920444|57.921523|-0.651541|-0.715214|10.234045|6.215690|48.567887337042514|193.388143904489283|-0.015122|50.594560|51.066112
1645227206|Feb 18 23:33:26|30|57.926553|57.927635|-0.653267|-0.716930|10.254073|6.223305|48.565789891325842|193.391021813655044|-0.032966|51.853312|52.299008
1645227207|Feb 18 23:33:27|26|57.931876|57.932958|-0.653738|-0.717392|10.302091|6.218055|48.565528711257514|193.389194108491523|-0.082368|50.092032|50.513152
1645227209|Feb 18 23:33:29|28|57.938534|57.939614|-0.652488|-0.716129|10.257151|6.220567|48.566458353522115|193.392053750763665|-0.035265|50.935040|51.361024
1645227210|Feb 18 23:33:30|26|57.945643|57.946721|-0.652029|-0.715658|10.257151|6.220567|48.567429331738090|193.387818472287449|-0.038474|49.789440|50.508032
1645227212|Feb 18 23:33:32|23|57.950742|57.951821|-0.652961|-0.716580|10.257151|6.220567|48.565935108731388|193.392412973846064|-0.034992|48.244480|49.096192
1645227213|Feb 18 23:33:33|22|57.957850|57.958928|-0.652502|-0.716109|10.257151|6.220567|48.566906107443430|193.388177826785579|-0.038200|48.160768|48.632832
1645227215|Feb 18 23:33:35|26|57.963502|57.964581|-0.652983|-0.716580|10.254073|6.223305|48.565952930222039|193.392069936637142|-0.032173|50.548224|50.983424
1645227216|Feb 18 23:33:36|21|57.968793|57.969872|-0.653486|-0.717073|10.302091|6.218055|48.565655612172904|193.390280064552627|-0.081546|47.937024|48.347648
1645227218|Feb 18 23:33:38|28|57.975199|57.976274|-0.652189|-0.715765|10.230959|6.218425|48.566585488231325|193.393529167039190|-0.007956|50.491136|50.917888
1645227219|Feb 18 23:33:39|27|57.980995|57.982074|-0.653968|-0.717533|10.302091|6.218055|48.565122241834153|193.390645015529856|-0.081269|50.353408|50.957824
1645227221|Feb 18 23:33:41|25|57.987674|57.988750|-0.652679|-0.716232|10.257151|6.220567|48.566093250915344|193.393485530397328|-0.034180|48.987904|49.813504
1645227222|Feb 18 23:33:42|20|57.993482|57.994558|-0.653025|-0.716568|10.321771|6.215207|48.566042111305421|193.390968121642061|-0.100706|47.041536|47.537664
1645227224|Feb 18 23:33:44|17|58.000247|58.001319|-0.650897|-0.714429|10.217680|6.226259|48.567853375675341|193.393905308034419|0.005605|160.131840|160.555264
1645227225|Feb 18 23:33:45|17|58.006728|58.007799|-0.651071|-0.714591|10.246499|6.225282|48.568090689301201|193.390434390622858|-0.025842|130.418944|130.849536
1645227227|Feb 18 23:33:47|23|58.014177|58.015249|-0.651954|-0.715460|10.199341|6.224423|48.567061524439595|193.391546905162073|0.022161|129.676288|130.110976
1645227228|Feb 18 23:33:48|24|58.021119|58.022192|-0.652631|-0.716124|10.203192|6.222721|48.566885777977539|193.387255237128386|0.015060|136.095744|136.534528
1645227230|Feb 18 23:33:50|23|58.026314|58.027386|-0.652924|-0.716408|10.230815|6.224865|48.566036418386780|193.391877799251716|-0.009061|130.012928|130.436096
1645227231|Feb 18 23:33:51|26|58.032951|58.034022|-0.651820|-0.715292|10.215021|6.224839|48.567559062418987|193.388515906049264|0.004185|132.603136|133.020672
1645227233|Feb 18 23:33:53|24|58.039986|58.041056|-0.651871|-0.715331|10.246499|6.225282|48.567273946221903|193.390467334673133|-0.025815|131.739136|132.191232
1645227234|Feb 18 23:33:54|21|58.046872|58.047943|-0.652597|-0.716044|10.215021|6.224839|48.567040647717675|193.386245183245421|0.002467|134.774272|135.203072
1645227236|Feb 18 23:33:56|26|58.052844|58.053914|-0.651953|-0.715389|10.199341|6.224423|48.567251577607230|193.389963315210537|0.020961|131.178496|131.613440
1645227238|Feb 18 23:33:58|20|58.059880|58.060949|-0.652013|-0.715437|10.230815|6.224865|48.566957750378485|193.391910969494148|-0.009038|127.453184|127.873792
1645227239|Feb 18 23:33:59|20|58.066685|58.067756|-0.653254|-0.716666|10.230815|6.224865|48.566202689977438|193.387671260204201|-0.012247|127.490048|127.957760
1645227241|Feb 18 23:34:01|20|58.071992|58.073061|-0.653096|-0.716499|10.203192|6.222721|48.565816761391503|193.392248975922229|0.018843|126.717440|127.151360
1645227242|Feb 18 23:34:02|24|58.077514|58.078581|-0.651713|-0.715105|10.230815|6.224865|48.567416797788972|193.390620931890879|-0.010016|131.367424|131.802624
1645227244|Feb 18 23:34:04|25|58.084397|58.085465|-0.652415|-0.715796|10.199341|6.224423|48.566463945981333|193.392622451970425|0.022976|130.472704|130.893312
1645227245|Feb 18 23:34:05|36|58.091435|58.092502|-0.652493|-0.715861|10.230815|6.224865|48.566894743482251|193.388349380600459|-0.011735|140.399872|140.818176
1645227247|Feb 18 23:34:07|33|58.098433|58.099500|-0.652633|-0.715988|10.203192|6.222721|48.566516157229579|193.390331209137571|0.017390|135.047168|135.464960
