********************* February 18 Observing Session - beginning 21:12:39 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1645218948|Feb 18 21:15:48||0.292864
1645218950|Feb 18 21:15:50||0.295680
1645218951|Feb 18 21:15:51||0.300544
1645218953|Feb 18 21:15:53||0.278272
1645218954|Feb 18 21:15:54||0.264192
1645218955|Feb 18 21:15:55||0.287744
1645218957|Feb 18 21:15:57||0.290304
1645218958|Feb 18 21:15:58||0.321024
1645218960|Feb 18 21:16:00||0.499456
1645218961|Feb 18 21:16:01||0.295424
1645218962|Feb 18 21:16:02||0.299264
1645218964|Feb 18 21:16:04||0.292864
1645218965|Feb 18 21:16:05||0.268544
1645218967|Feb 18 21:16:07||0.324096
1645218968|Feb 18 21:16:08||0.311296
1645218969|Feb 18 21:16:09||0.282624
1645218971|Feb 18 21:16:11||0.288512
1645218972|Feb 18 21:16:12||0.292864
1645218973|Feb 18 21:16:13||0.267520
1645218975|Feb 18 21:16:15||0.290304
1645218976|Feb 18 21:16:16||0.270080
1645218978|Feb 18 21:16:18||0.269568
1645218979|Feb 18 21:16:19||0.284928
1645218980|Feb 18 21:16:20||0.283136
1645218982|Feb 18 21:16:22||0.270848
1645218983|Feb 18 21:16:23||0.300032
1645218985|Feb 18 21:16:25||0.291840
1645218986|Feb 18 21:16:26||0.265216
1645218987|Feb 18 21:16:27||0.295168
1645218989|Feb 18 21:16:29||0.291840
1645218990|Feb 18 21:16:30||0.269824
1645218991|Feb 18 21:16:31||0.283136
1645218993|Feb 18 21:16:33||0.264704
1645218994|Feb 18 21:16:34||0.299264
1645218996|Feb 18 21:16:36||0.298496
1645218997|Feb 18 21:16:37||0.291584
1645218998|Feb 18 21:16:38||0.292352
