********************* April 27 Observing Session - beginning 00:30:06 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50

C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1619483872|Apr 27 00:37:52||1581.890816
1619483875|Apr 27 00:37:55||82.629120
1619483876|Apr 27 00:37:56||27.696128
1619483878|Apr 27 00:37:58||95.529472
1619483879|Apr 27 00:37:59||49.248512
1619483881|Apr 27 00:38:01||715.080192
1619483883|Apr 27 00:38:03||0.411648
1619483884|Apr 27 00:38:04||42.248192
1619483886|Apr 27 00:38:06||79.857920
1619483887|Apr 27 00:38:07||128.264192
1619483889|Apr 27 00:38:09||47.578880
1619483890|Apr 27 00:38:10||46.390528
1619483892|Apr 27 00:38:12||62.357504
1619483893|Apr 27 00:38:13|7|205.644456|205.640576|1.531617|1.638876|84.453540|6.226902|26.186729588200237|111.940162194049648|-129.762606|50.934528|51.424768
1619483895|Apr 27 00:38:15||42.973184
1619483896|Apr 27 00:38:16||716.996352
1619483898|Apr 27 00:38:18|7|205.665455|205.661576|1.532324|1.639565|84.389395|6.224516|26.187149928600086|111.939516721812268|-129.698743|32.298496|32.923904
1619483900|Apr 27 00:38:20||709.882112
1619483902|Apr 27 00:38:22||42.808064
1619483903|Apr 27 00:38:23|7|205.685929|205.682051|1.532241|1.639464|84.328650|6.228719|26.187386850536917|111.939908129525591|-129.637836|87.652864|88.310784
1619483905|Apr 27 00:38:25||41.594368
1619483906|Apr 27 00:38:26||711.114496
1619483908|Apr 27 00:38:28||710.503168
1619483911|Apr 27 00:38:31|7|205.716505|205.712627|1.531776|1.638972|84.391104|6.227815|26.189084229253332|111.942509158235865|-129.699219|23.310592|23.810304
1619483912|Apr 27 00:38:32||707.271680
1619483914|Apr 27 00:38:34||712.301312
1619483916|Apr 27 00:38:36||707.852800
1619483918|Apr 27 00:38:38||700.318208
1619483921|Apr 27 00:38:41|7|205.757230|205.753353|1.531482|1.638642|84.320358|6.221935|26.189627384845693|111.943569241289708|-129.628033|21.720832|22.257408
