********************* June 01 Observing Session - beginning 02:19:51 GMT *********************
Camera model: UI326xCP-M
----------------------------------------------------
Exposure: 700.009406 milliseconds
Pixel clock: 30
Frame rate achieved (desired is 10): 1.428580
Trigger delay (microseconds): 0
Current trigger mode setting: 4104
Current trigger timeout: 500
Auto shutter: 0.0
Auto frame rate (should be disabled): 0.0
----------------------------------------------------
Sensor ID/type: 550
Sensor color mode (from is_GetSensorInfo and is_SetColorMode): 1 | 11
Maximum image width and height: 1936, 1216
Pixel size (micrometers): 5.86
Gain settings: 0 for master gain, 125 for red gain, 125 for green gain, and 125 for blue gain.
Auto gain (should be disabled): 0
Gain boost (should be disabled): 0
Hardware gamma (should be disabled): 0
----------------------------------------------------
Auto black level (should be off): 0
Black level offset (desired is 50): 50
C time|GMT|Blob #|Observed RA (deg)|Astrometry RA (deg)|Observed DEC (deg)| Astrometry DEC (deg)|FR (deg)|PS|ALT (deg)|AZ (deg)|IR (deg)|Astrom. solve time (msec)|Camera time (msec)
1622516703|Jun 01 03:05:03|56|278.751265|278.756508|5.049624|5.033198|-99.561566|6.225319|27.322911684672739|107.702038328735966|52.447290|121.090560|121.511424
1622516704|Jun 01 03:05:04|57|278.756814|278.762060|5.050870|5.034433|-99.488842|6.220296|27.322758667940029|107.699964022203034|52.373735|53.418240|53.865472
1622516706|Jun 01 03:05:06|57|278.763421|278.768665|5.050229|5.033778|-99.524162|6.225913|27.323599507306398|107.701827885872362|52.409757|88.602368|89.038080
1622516707|Jun 01 03:05:07|57|278.768936|278.774183|5.051075|5.034613|-99.510925|6.219453|27.323198921997566|107.700109644561223|52.395849|174.680576|175.176192
1622516709|Jun 01 03:05:09|60|278.775690|278.780935|5.050559|5.034083|-99.524162|6.225913|27.324017395165583|107.701758280503896|52.409701|59.457536|59.876096
1622516711|Jun 01 03:05:11|56|278.782826|278.788070|5.050016|5.033527|-99.524162|6.225913|27.324539016382786|107.703136348597923|52.410227|185.955328|186.405632
1622516712|Jun 01 03:05:12|62|278.788321|278.793567|5.050858|5.034357|-99.510925|6.219453|27.324150140100407|107.701437078779847|52.396326|21.370368|21.869824
1622516714|Jun 01 03:05:14|58|278.795311|278.800555|5.049961|5.033446|-99.553757|6.222916|27.324536949322457|107.703219480614209|52.439855|113.190144|113.683712
1622516715|Jun 01 03:05:15|62|278.802199|278.807443|5.049457|5.032928|-99.583657|6.224469|27.322216279852846|107.701567059163978|52.469236|61.797632|62.309376
1622516717|Jun 01 03:05:17|51|278.807467|278.812713|5.050535|5.033995|-99.516367|6.223509|27.325203468279192|107.703034921345250|52.402347|68.085504|68.564480
1622516718|Jun 01 03:05:18|58|278.814607|278.819851|5.049898|5.033345|-99.561566|6.225319|27.322608765557987|107.701299653437133|52.447010|9.219328|9.920512
1622516720|Jun 01 03:05:20|58|278.819963|278.825210|5.050966|5.034402|-99.510925|6.219453|27.325525196752800|107.702708176304625|52.396753|85.273088|85.750016
1622516721|Jun 01 03:05:21|62|278.826731|278.831976|5.050140|5.033562|-99.583657|6.224469|27.323072533214855|107.701413104443844|52.469118|211.207680|211.625472
1622516723|Jun 01 03:05:23|58|278.832220|278.837467|5.051292|5.034702|-99.510925|6.219453|27.325949298554562|107.702651550430090|52.396702|60.005376|60.520704
1622516724|Jun 01 03:05:24|55|278.839348|278.844595|5.050748|5.034144|-99.510925|6.219453|27.323425788691281|107.700848733197461|52.396134|105.985536|106.710528
1622516726|Jun 01 03:05:26|57|278.846278|278.851524|5.050034|5.033416|-99.561566|6.225319|27.323980204269148|107.702525929684043|52.447419|9.476352|10.716928
1622516727|Jun 01 03:05:27|55|278.851605|278.856852|5.051073|5.034445|-99.510925|6.219453|27.323849603101714|107.700792361669230|52.396084|8.877312|9.540864
1622516729|Jun 01 03:05:29|56|278.858482|278.863727|5.050140|5.033498|-99.575841|6.222067|27.324294241349513|107.702690655975971|52.461740|54.907136|55.370240
1622516730|Jun 01 03:05:30|59|278.863869|278.869114|5.049742|5.033089|-99.524162|6.225913|27.323140588932567|107.702096313667809|52.409895|105.747456|106.224128
1622516732|Jun 01 03:05:32|62|278.871633|278.876881|5.051187|5.034518|-99.460500|6.230633|27.324556613971815|107.701356192860075|52.345842|67.191296|67.605248
1622516733|Jun 01 03:05:33|53|278.876955|278.882201|5.049908|5.033228|-99.533827|6.221276|27.322850826978531|107.701537896810038|52.419352|13.203456|13.646848
1622516735|Jun 01 03:05:35|56|278.882749|278.887996|5.050721|5.034030|-99.476730|6.219915|27.325274928444188|107.702822806634600|52.362619|66.740992|67.293440
1622516736|Jun 01 03:05:36|59|278.888740|278.893987|5.050799|5.034095|-99.494397|6.227062|27.324004264093453|107.701375363983985|52.379782|52.375552|52.911616
1622516737|Jun 01 03:05:37|62|278.895082|278.900328|5.050026|5.033310|-99.501846|6.225230|27.321898705516290|107.700361154462428|52.386956|15.059456|15.609856
1622516739|Jun 01 03:05:39|58|278.901669|278.906916|5.050634|5.033905|-99.444595|6.220087|27.323603870866208|107.701209780293439|52.329939|66.323456|66.773248
1622516740|Jun 01 03:05:40|61|278.907757|278.913003|5.049944|5.033202|-99.583657|6.224469|27.321740491987704|107.700322049237343|52.468762|105.225472|105.687552
1622516742|Jun 01 03:05:42|60|278.912947|278.918195|5.051052|5.034299|-99.524162|6.225913|27.324804997149613|107.701824117980095|52.409677|66.511360|66.951168
1622516743|Jun 01 03:05:43|62|278.920455|278.925703|5.050858|5.034090|-99.480998|6.223564|27.322242547106462|107.699443162597731|52.365713|31.099392|31.592192
1622516745|Jun 01 03:05:45|57|278.926292|278.931537|5.049539|5.032760|-99.533827|6.221276|27.323184136750974|107.702453061562736|52.419702|66.445824|66.911488
1622516746|Jun 01 03:05:46|63|278.932289|278.937537|5.050623|5.033832|-99.583657|6.224469|27.322593596700941|107.700170873935321|52.468645|98.545664|98.989824
1622516748|Jun 01 03:05:48|63|278.937693|278.942943|5.051640|5.034838|-99.510925|6.219453|27.325440232452330|107.701584566858514|52.396302|113.527296|113.979648
1622516749|Jun 01 03:05:49|57|278.944972|278.950222|5.051540|5.034723|-99.494397|6.227062|27.323109269579177|107.699301347529484|52.378999|41.188864|41.652480
1622516751|Jun 01 03:05:51|60|278.950814|278.956061|5.050205|5.033376|-99.533827|6.221276|27.324035749513655|107.702320599561020|52.419593|14.133760|14.694400
1622516752|Jun 01 03:05:52|63|278.957062|278.962309|5.049859|5.033017|-99.509568|6.223589|27.322289208125532|107.701026601098178|52.394923|124.186624|125.022464
1622516754|Jun 01 03:05:54|62|278.962624|278.967872|5.050139|5.033286|-99.554929|6.227015|27.324519134158443|107.702927290880282|52.440910|50.784256|51.226112
1622516755|Jun 01 03:05:55|63|278.969810|278.975058|5.050477|5.033610|-99.494397|6.227062|27.322554303427772|107.700353818491394|52.379462|68.150016|68.596480
1622516757|Jun 01 03:05:57|61|278.976289|278.981537|5.050140|5.033260|-99.497618|6.221869|27.323694567799869|107.702063503063684|52.383302|67.368448|67.798784
1622516758|Jun 01 03:05:58|61|278.982083|278.987332|5.050798|5.033906|-99.494397|6.227062|27.322962822689071|107.700287996049170|52.379409|75.452416|76.046592
1622516760|Jun 01 03:06:00|63|278.987890|278.993136|5.049499|5.032595|-99.533827|6.221276|27.323939564585828|107.703305127398650|52.419999|14.447360|15.071232
1622516761|Jun 01 03:06:01|65|278.995374|279.000623|5.050460|5.033542|-99.476730|6.219915|27.322180649092552|107.699989312736079|52.361671|91.720192|92.133120
1622516763|Jun 01 03:06:03|59|279.001050|279.006297|5.050076|5.033146|-99.583657|6.224469|27.323875844400852|107.702351941223057|52.469447|21.402112|21.847808
1622516764|Jun 01 03:06:04|59|279.007136|279.012384|5.050098|5.033155|-99.518465|6.223537|27.322497767861094|107.700877809949787|52.403746|13.693440|14.136064
1622516766|Jun 01 03:06:06|61|279.011687|279.016935|5.050252|5.033300|-99.524162|6.225913|27.325380229990976|107.703654414555615|52.410382|22.721024|23.239424
1622516767|Jun 01 03:06:07|62|279.018741|279.023991|5.051226|5.034261|-99.548292|6.218861|27.323944181958581|107.700655735345975|52.433389|83.928064|84.453376
1622516769|Jun 01 03:06:09|57|279.024301|279.029547|5.048974|5.031997|-99.515300|6.233234|27.324452148701795|107.704647324205396|52.401984|9.112064|9.622272
1622516770|Jun 01 03:06:10|65|279.030900|279.036148|5.049800|5.032810|-99.512983|6.219610|27.323247323251486|107.702118156375150|52.398718|66.579968|67.009536
1622516772|Jun 01 03:06:12|67|279.036317|279.041567|5.050986|5.033985|-99.518714|6.221848|27.326200310838487|107.703383052423732|52.404771|59.385856|59.866368
1622516773|Jun 01 03:06:13|63|279.043286|279.048534|5.050088|5.033072|-99.575841|6.222067|27.323551694645118|107.701994738664439|52.461506|103.370496|103.807488
1622516775|Jun 01 03:06:15|66|279.049489|279.054736|5.049452|5.032424|-99.533827|6.221276|27.324690335355648|107.704161261141920|52.420297|46.064896|46.489600
1622516776|Jun 01 03:06:16|60|279.055964|279.061213|5.050250|5.033210|-99.554929|6.227015|27.323557059815954|107.701750292719140|52.440495|67.075072|67.573760
1622516778|Jun 01 03:06:18|60|279.062547|279.067795|5.049910|5.032855|-99.512983|6.219610|27.324619553825279|107.703384848219144|52.399143|50.084352|50.522112
1622516779|Jun 01 03:06:19|65|279.067683|279.072932|5.050066|5.033002|-99.586885|6.223050|27.324027049545435|107.702524324941507|52.472735|44.239616|44.677376
1622516780|Jun 01 03:06:20|64|279.074805|279.080054|5.050235|5.033157|-99.512983|6.219610|27.321993147126442|107.700138455901467|52.397997|50.017280|50.479360
1622516782|Jun 01 03:06:22|64|279.080855|279.086103|5.049946|5.032855|-99.494397|6.227062|27.323479758597912|107.702137212714035|52.380125|90.052608|90.485248
1622516783|Jun 01 03:06:23|65|279.087208|279.092459|5.050732|5.033628|-99.583657|6.224469|27.322426797322024|107.699828665293651|52.468517|45.583360|46.029824
1622516785|Jun 01 03:06:25|62|279.093406|279.098655|5.049902|5.032786|-99.533827|6.221276|27.323437654027899|107.702160350445993|52.419567|14.172160|14.662912
1622516786|Jun 01 03:06:26|63|279.098124|279.103374|5.050497|5.033371|-99.545057|6.228610|27.323447781464353|107.701257545660440|52.430430|91.271680|91.734272
1622516788|Jun 01 03:06:28|67|279.105557|279.110808|5.051014|5.033873|-99.518465|6.223537|27.324473750785209|107.701536086738471|52.403885|52.887808|53.384704
1622516789|Jun 01 03:06:29|62|279.112108|279.117358|5.049976|5.032822|-99.550426|6.219578|27.322035122485147|107.700580780052121|52.435616|14.100480|14.577920
1622516791|Jun 01 03:06:31|63|279.117929|279.123180|5.050562|5.033396|-99.533827|6.221276|27.324284181008842|107.702032184451753|52.419460|33.099776|33.590528
1622516792|Jun 01 03:06:32|59|279.124130|279.129380|5.049834|5.032655|-99.512983|6.219610|27.322312247051585|107.701089009681382|52.398361|13.166336|13.694464
1622516794|Jun 01 03:06:34|61|279.129894|279.135145|5.050554|5.033365|-99.554929|6.227015|27.324694735986682|107.702472632012629|52.440715|49.279488|49.792000
1622516795|Jun 01 03:06:35|63|279.136568|279.141818|5.050372|5.033169|-99.583657|6.224469|27.322749253270075|107.700719003048903|52.468857|105.073920|105.505536
1622516797|Jun 01 03:06:37|64|279.141882|279.147134|5.051108|5.033894|-99.548292|6.218861|27.325470496258355|107.702433007795847|52.434011|108.123648|108.628992
1622516798|Jun 01 03:06:38|61|279.148974|279.154225|5.050627|5.033399|-99.502060|6.229310|27.323015920227576|107.700606093257832|52.387197|67.795200|68.249600
1622516800|Jun 01 03:06:40|61|279.154064|279.159317|5.051449|5.034210|-99.510925|6.219453|27.325959021539738|107.702420285826818|52.396608|104.667392|105.111552
1622516801|Jun 01 03:06:41|56|279.161266|279.166518|5.050893|5.033640|-99.548292|6.218861|27.323374012476833|107.700571937787814|52.433392|21.285888|21.732096
1622516803|Jun 01 03:06:43|58|279.167948|279.173201|5.051028|5.033761|-99.497618|6.221869|27.324687144958581|107.701737977411142|52.383106|64.571392|65.020928
1622516804|Jun 01 03:06:44|55|279.174400|279.179649|5.049632|5.032353|-99.533827|6.221276|27.322078323286938|107.701153874211144|52.419247|11.527424|11.973120
1622516806|Jun 01 03:06:46|52|279.179279|279.184530|5.050184|5.032895|-99.554929|6.227015|27.324991762998053|107.703351960638571|52.441052|63.809536|64.281600
1622516807|Jun 01 03:06:47|63|279.185715|279.190965|5.049752|5.032450|-99.512983|6.219610|27.323049964169350|107.701985448747550|52.398677|47.967744|48.843776
1622516809|Jun 01 03:06:49|60|279.191552|279.196804|5.050517|5.033203|-99.554929|6.227015|27.325408969786061|107.703276461489949|52.440994|70.983424|71.419648
1622516810|Jun 01 03:06:50|57|279.198194|279.203445|5.050343|5.033015|-99.583657|6.224469|27.323491975263373|107.701540765226611|52.469142|83.585792|84.003584
1622516812|Jun 01 03:06:52|60|279.205103|279.210353|5.049531|5.032189|-99.512983|6.219610|27.323995488871589|107.703314136070574|52.399155|65.247744|65.687040
1622516813|Jun 01 03:06:53|58|279.210385|279.215636|5.050550|5.033197|-99.570362|6.218014|27.323883539158814|107.701632013357298|52.455859|104.290560|105.172736
1622516815|Jun 01 03:06:55|63|279.216081|279.221332|5.049792|5.032428|-99.561566|6.225319|27.325308691590422|107.704286430223391|52.448047|46.042880|50.018816
1622516816|Jun 01 03:06:56|56|279.223306|279.228556|5.049891|5.032513|-99.570286|6.224747|27.323153207377530|107.701879757247056|52.455931|68.620288|69.117440
1622516818|Jun 01 03:06:58|63|279.229862|279.235114|5.050471|5.033080|-99.583657|6.224469|27.324861351488025|107.702774803544045|52.469554|62.475264|62.983168
1622516819|Jun 01 03:06:59|61|279.235938|279.241190|5.050315|5.032911|-99.518465|6.223537|27.323369992391754|107.701455606623568|52.403924|14.458368|14.941952
1622516820|Jun 01 03:07:00|63|279.242129|279.247382|5.050805|5.033388|-99.583657|6.224469|27.322234109176989|107.699515833317619|52.468403|73.281280|74.014464
1622516822|Jun 01 03:07:02|65|279.247754|279.253005|5.049907|5.032480|-99.561566|6.225319|27.323616630721006|107.702339881047877|52.447367|38.106624|38.635776
1622516823|Jun 01 03:07:03|61|279.253210|279.258463|5.050474|5.033036|-99.554929|6.227015|27.323069443957259|107.700896704155255|52.440181|85.294336|85.731072
1622516825|Jun 01 03:07:05|61|279.260525|279.265777|5.050223|5.032769|-99.533827|6.221276|27.323658071024745|107.701898685947768|52.419446|14.708224|15.195904
1622516826|Jun 01 03:07:06|64|279.265484|279.270737|5.050806|5.033343|-99.554929|6.227015|27.323485601092401|107.700822234317229|52.440124|13.932032|14.477056
1622516828|Jun 01 03:07:08|68|279.272788|279.278040|5.050549|5.033071|-99.533827|6.221276|27.324079028554131|107.701836827928489|52.419394|68.727808|69.156096
1622516829|Jun 01 03:07:09|54|279.278947|279.284198|5.049764|5.032273|-99.512983|6.219610|27.322098233128536|107.700972831349020|52.398328|64.812288|65.960192
1622516831|Jun 01 03:07:11|61|279.284533|279.289787|5.050960|5.033458|-99.594270|6.223725|27.324934140474042|107.702100124575026|52.479889|89.822208|90.292736
1622516832|Jun 01 03:07:12|61|279.291485|279.296737|5.049938|5.032423|-99.565766|6.217322|27.322214270123638|107.700826002497536|52.451044|48.374784|48.868352
1622516834|Jun 01 03:07:14|55|279.297169|279.302423|5.050927|5.033400|-99.554929|6.227015|27.324837604257638|107.702049534443091|52.440534|70.929664|71.390208
1622516835|Jun 01 03:07:15|60|279.303328|279.308580|5.050134|5.032594|-99.534061|6.225345|27.322851805959168|107.701192249230715|52.419446|65.120256|65.584896
1622516837|Jun 01 03:07:17|61|279.309179|279.314431|5.049934|5.032383|-99.583657|6.224469|27.324544592600731|107.703268744847165|52.469775|107.327488|107.829248
1622516838|Jun 01 03:07:18|63|279.316014|279.321265|5.049026|5.031460|-99.512983|6.219610|27.321986583570293|107.701990141166945|52.398748|68.628736|69.215744
1622516840|Jun 01 03:07:20|70|279.322127|279.327380|5.050151|5.032573|-99.533827|6.221276|27.324389440485938|107.702774004916478|52.419754|12.148224|12.627712
1622516841|Jun 01 03:07:21|65|279.328090|279.333345|5.051274|5.033685|-99.570362|6.218014|27.323851566623730|107.700485315349326|52.455396|73.961728|74.460160
1622516843|Jun 01 03:07:23|66|279.333712|279.338966|5.050598|5.032997|-99.583657|6.224469|27.325386879019611|107.703129423072724|52.469664|99.131136|99.636992
1622516844|Jun 01 03:07:24|61|279.340344|279.345600|5.051603|5.033989|-99.570362|6.218014|27.324279598400935|107.700428097355001|52.455345|104.024064|104.513024
1622516846|Jun 01 03:07:26|63|279.347533|279.352787|5.050471|5.032842|-99.586885|6.223050|27.324361288685893|107.702252110682281|52.472602|31.316736|31.811072
1622516847|Jun 01 03:07:27|62|279.353113|279.358367|5.050389|5.032749|-99.583657|6.224469|27.323281853562335|107.701250131194769|52.469038|112.315136|112.826112
1622516849|Jun 01 03:07:29|63|279.360248|279.365501|5.049848|5.032193|-99.583657|6.224469|27.323805324631266|107.702628292205219|52.469563|106.439424|106.873088
1622516850|Jun 01 03:07:30|65|279.365597|279.370852|5.050608|5.032943|-99.561566|6.225319|27.323467685491082|107.701107639051060|52.446877|35.359744|35.810816
1622516852|Jun 01 03:07:32|68|279.372515|279.377768|5.050179|5.032500|-99.583657|6.224469|27.324225919968875|107.702559355041174|52.469508|109.143296|109.590528
1622516853|Jun 01 03:07:33|59|279.378240|279.383494|5.050661|5.032971|-99.554929|6.227015|27.323425227447956|107.700981138332565|52.440192|66.124800|66.572800
1622516855|Jun 01 03:07:35|66|279.385440|279.390694|5.050362|5.032657|-99.533827|6.221276|27.324065669859955|107.702110091219055|52.419506|11.602688|12.035328
1622516856|Jun 01 03:07:36|64|279.390861|279.396113|5.049528|5.031812|-99.533827|6.221276|27.322590341431237|107.701849509362560|52.419496|69.989888|70.471680
1622516858|Jun 01 03:07:38|67|279.396995|279.402250|5.050682|5.032953|-99.554682|6.222936|27.324997232091391|107.702593485523565|52.440496|70.827008|71.255552
1622516859|Jun 01 03:07:39|65|279.402694|279.407947|5.049882|5.032142|-99.561566|6.225319|27.323343143436581|107.702092447058746|52.447284|67.621632|68.051456
1622516861|Jun 01 03:07:41|64|279.409315|279.414571|5.051171|5.033418|-99.583657|6.224469|27.325486782014636|107.702353701013621|52.469343|107.915776|108.397056
1622516862|Jun 01 03:07:42|69|279.415619|279.420873|5.050143|5.032377|-99.586617|6.218982|27.323235498982896|107.701579520129258|52.472134|51.500032|51.930112
1622516864|Jun 01 03:07:44|63|279.422199|279.427455|5.051106|5.033327|-99.554929|6.227015|27.325187420947131|107.702140658548132|52.440548|67.482624|68.323584
1622516865|Jun 01 03:07:45|65|279.427876|279.433131|5.050478|5.032687|-99.586617|6.218982|27.323665465961035|107.701514452985592|52.472080|68.231680|68.777728
1622516867|Jun 01 03:07:47|67|279.434463|279.439719|5.050740|5.032936|-99.570286|6.224747|27.325134982774223|107.702648241187447|52.456114|69.351168|69.823232
1622516868|Jun 01 03:07:48|62|279.440123|279.445378|5.050590|5.032774|-99.607760|6.224715|27.323951574510978|107.701641682426768|52.493256|14.695168|15.186944
1622516870|Jun 01 03:07:50|65|279.447042|279.452296|5.050279|5.032449|-99.533827|6.221276|27.324788834832660|107.702994932641005|52.419818|14.205952|14.679296
1622516871|Jun 01 03:07:51|62|279.452392|279.457648|5.050710|5.032870|-99.628942|6.230456|27.324227316520741|107.701744401853745|52.514463|64.206592|64.648704
1622516873|Jun 01 03:07:53|62|279.459304|279.464560|5.050602|5.032748|-99.533827|6.221276|27.325207296638943|107.702935844554688|52.419767|66.576384|67.051264
1622516874|Jun 01 03:07:54|61|279.464660|279.469917|5.051268|5.033403|-99.607760|6.224715|27.324800942121051|107.701487464383817|52.493139|66.394624|66.825728
1622516875|Jun 01 03:07:55|59|279.471584|279.476840|5.050714|5.032835|-99.554929|6.227015|27.322419352263012|107.699849609690801|52.439798|67.393280|67.845632
1622516877|Jun 01 03:07:57|58|279.477222|279.482478|5.050795|5.032905|-99.571280|6.221240|27.324458419602387|107.701856693211198|52.456830|63.147264|63.619584
1622516878|Jun 01 03:07:58|65|279.483048|279.488305|5.051213|5.033311|-99.575841|6.222067|27.323540028920910|107.700254457626031|52.460801|95.872256|96.650752
1622516880|Jun 01 03:08:00|62|279.490137|279.495393|5.050418|5.032502|-99.565766|6.217322|27.323924342508555|107.701876637283988|52.451360|49.631488|50.190848
1622516881|Jun 01 03:08:01|61|279.496100|279.501356|5.050690|5.032762|-99.570286|6.224747|27.322807010414927|107.700290491782027|52.455309|8.853504|9.505536
1622516883|Jun 01 03:08:03|58|279.501759|279.507015|5.050580|5.032640|-99.607760|6.224715|27.324700248109373|107.702439481999178|52.493532|8.831232|9.384192
1622516884|Jun 01 03:08:04|67|279.508644|279.513899|5.050189|5.032235|-99.533827|6.221276|27.322458678442764|107.700696652203490|52.419037|9.434880|9.895168
1622516886|Jun 01 03:08:06|65|279.514028|279.519285|5.050918|5.032954|-99.607760|6.224715|27.325124226489287|107.702363239226315|52.493473|73.387776|73.836544
1622516887|Jun 01 03:08:07|60|279.520906|279.526162|5.050511|5.032533|-99.533827|6.221276|27.322876357598879|107.700638518453189|52.418986|28.795392|29.340672
1622516889|Jun 01 03:08:09|58|279.526105|279.531362|5.051188|5.033200|-99.554929|6.227015|27.325641791546232|107.702489252792418|52.440660|17.600768|18.137344
1622516890|Jun 01 03:08:10|66|279.533243|279.538500|5.050644|5.032641|-99.554929|6.227015|27.323110934473085|107.700679262324499|52.440090|27.280896|27.809536
1622516892|Jun 01 03:08:12|66|279.538565|279.543824|5.051594|5.033580|-99.607760|6.224715|27.325971707316000|107.702211317418175|52.493357|97.668608|98.168576
1622516893|Jun 01 03:08:13|61|279.544658|279.549915|5.050716|5.032690|-99.586885|6.223050|27.323977125098779|107.701473774990163|52.472312|25.232384|25.778944
1622516895|Jun 01 03:08:15|54|279.551700|279.556956|5.050359|5.032319|-99.565766|6.217322|27.324692815316183|107.702771400082213|52.451673|8.235520|8.718080
1622516896|Jun 01 03:08:16|65|279.557118|279.562373|5.049526|5.031475|-99.565766|6.217322|27.323221303805333|107.702511477127672|52.451663|83.502592|83.947776
1622516898|Jun 01 03:08:18|60|279.563216|279.568473|5.050462|5.032399|-99.554929|6.227015|27.325505973864338|107.703462678063119|52.441064|8.841472|9.360128
1622516899|Jun 01 03:08:19|60|279.569372|279.574628|5.049854|5.031779|-99.565766|6.217322|27.323648703539448|107.702454768640806|52.451612|76.219392|76.688128
1622516900|Jun 01 03:08:20|59|279.575663|279.580921|5.050901|5.032813|-99.607760|6.224715|27.322818878575831|107.699978999604042|52.492655|26.065920|26.549760
1622516902|Jun 01 03:08:22|60|279.581627|279.586883|5.050182|5.032081|-99.565766|6.217322|27.324075948630892|107.702398251619798|52.451562|7.952384|8.474624
1622516903|Jun 01 03:08:23|61|279.586878|279.592136|5.050883|5.032772|-99.586885|6.223050|27.323769938923007|107.701001386793379|52.472133|64.209664|64.849664
1622516905|Jun 01 03:08:25|60|279.593881|279.599138|5.050509|5.032384|-99.565766|6.217322|27.324503039868496|107.702341926959193|52.451511|27.063040|29.025792
1622516906|Jun 01 03:08:26|65|279.599967|279.605225|5.050789|5.032651|-99.570286|6.224747|27.323300268303846|107.700655215163380|52.455425|27.378944|27.866880
1622516908|Jun 01 03:08:28|58|279.605484|279.610743|5.050907|5.032758|-99.586617|6.218982|27.325452867039139|107.702724027009751|52.472455|26.166272|26.710528
1622516909|Jun 01 03:08:29|61|279.612453|279.617710|5.050219|5.032057|-99.533827|6.221276|27.322948150302146|107.701161635629504|52.419193|10.360576|10.802944
1622516911|Jun 01 03:08:31|63|279.617819|279.623077|5.050436|5.032263|-99.623092|6.222449|27.325277759739969|107.703264417009350|52.509161|79.300864|79.878912
1622516912|Jun 01 03:08:32|60|279.624715|279.629973|5.050539|5.032352|-99.533827|6.221276|27.323364555573590|107.701105166868516|52.419144|26.119680|26.573824
1622516914|Jun 01 03:08:34|66|279.630574|279.635832|5.050532|5.032333|-99.549421|6.223078|27.325182115797595|107.703017197437134|52.435396|61.646336|62.155264
1622516915|Jun 01 03:08:35|64|279.636149|279.641406|5.049866|5.031656|-99.602221|6.220786|27.323709160480490|107.702500207251362|52.488081|25.726720|26.305024
1622516916|Jun 01 03:08:36|61|279.642399|279.647656|5.050023|5.031800|-99.533827|6.221276|27.322304344271465|107.700790333881955|52.419085|8.625920|9.154816
1622516918|Jun 01 03:08:38|59|279.648497|279.653755|5.050837|5.032602|-99.586885|6.223050|27.324506543465716|107.701842176223764|52.472427|24.888576|25.373696
1622516919|Jun 01 03:08:39|58|279.654661|279.659919|5.050342|5.032095|-99.533827|6.221276|27.322720395512356|107.700734358735161|52.419035|57.263360|57.708800
1622516921|Jun 01 03:08:41|66|279.660762|279.666022|5.051168|5.032908|-99.586885|6.223050|27.324927941620054|107.701774448504523|52.472372|57.436160|57.982976
1622516922|Jun 01 03:08:42|60|279.666923|279.672182|5.050662|5.032390|-99.533827|6.221276|27.323136297655175|107.700678581658551|52.418985|58.263808|58.790656
1622516924|Jun 01 03:08:44|62|279.674054|279.679312|5.050114|5.031827|-99.533827|6.221276|27.323657527960542|107.702064927871206|52.419514|72.296448|72.853504
1622516925|Jun 01 03:08:45|61|279.679612|279.684868|5.049486|5.031188|-99.586617|6.218982|27.322223408807879|107.701530066614595|52.472180|9.599488|10.046464
1622516927|Jun 01 03:08:47|62|279.685369|279.690627|5.050258|5.031949|-99.565766|6.217322|27.324645523508579|107.702876326711120|52.451719|79.048704|79.500288
1622516928|Jun 01 03:08:48|65|279.691696|279.696955|5.050764|5.032442|-99.623092|6.222449|27.323421169986254|107.700819896892909|52.508290|26.631680|27.134976
1622516930|Jun 01 03:08:50|59|279.697623|279.702882|5.050584|5.032250|-99.565766|6.217322|27.325071381677816|107.702821707124016|52.451669|24.651776|25.148416
1622516931|Jun 01 03:08:51|63|279.702981|279.708242|5.051327|5.032982|-99.586885|6.223050|27.324716071797859|107.701308691426931|52.472197|10.411008|10.968320
1622516933|Jun 01 03:08:53|63|279.710115|279.715375|5.050785|5.032426|-99.586885|6.223050|27.325239595871750|107.702688194675503|52.472722|72.663296|73.140736
1622516934|Jun 01 03:08:54|64|279.716103|279.721363|5.051197|5.032826|-99.570286|6.224747|27.324199066384772|107.700967906699731|52.455493|26.136832|26.716416
1622516936|Jun 01 03:08:56|61|279.721760|279.727021|5.051228|5.032845|-99.607760|6.224715|27.326189749552299|107.703001559055835|52.493663|27.367680|27.836928
1622516937|Jun 01 03:08:57|62|279.728524|279.733783|5.050551|5.032155|-99.533827|6.221276|27.323842545671987|107.701586490569426|52.419308|78.979584|79.425536
1622516938|Jun 01 03:08:58|60|279.733911|279.739171|5.050947|5.032540|-99.623092|6.222449|27.323229244369180|107.700337271449584|52.508106|24.899840|25.341184
1622516940|Jun 01 03:09:00|64|279.740786|279.746046|5.050869|5.032448|-99.533827|6.221276|27.324257590867617|107.701531952502904|52.419259|9.006336|9.482240
1622516941|Jun 01 03:09:01|64|279.746318|279.751577|5.050302|5.031870|-99.586617|6.218982|27.322883136402282|107.700966718365706|52.471908|58.545920|58.980352
1622516943|Jun 01 03:09:03|66|279.751722|279.756983|5.051065|5.032622|-99.607760|6.224715|27.325556799831773|107.702590294691234|52.493537|79.208192|79.716608
1622516944|Jun 01 03:09:04|61|279.758575|279.763835|5.050631|5.032174|-99.586617|6.218982|27.323309077527256|107.700906982345060|52.471857|9.684736|10.187520
1622516946|Jun 01 03:09:06|62|279.765701|279.770963|5.051689|5.033218|-99.607760|6.224715|27.324927169521629|107.700972629433707|52.492922|26.419456|26.873344
1622516947|Jun 01 03:09:07|62|279.770832|279.776093|5.050959|5.032478|-99.586617|6.218982|27.323734876123964|107.700847451370180|52.471805|27.656448|28.164864
